"","sub","sulci","dice","method","type"
"149",101006,"prcus-i",0.03271028,"CNN","less prominent sulci"
"150",101107,"prcus-i",0.031372549,"CNN","less prominent sulci"
"151",101309,"prcus-i",0.145772595,"CNN","less prominent sulci"
"152",101410,"prcus-i",0.724867725,"CNN","less prominent sulci"
"153",101915,"prcus-i",0.794979079,"CNN","less prominent sulci"
"154",102008,"prcus-i",0.269621422,"CNN","less prominent sulci"
"155",102311,"prcus-i",0.523719165,"CNN","less prominent sulci"
"156",102513,"prcus-i",0,"CNN","less prominent sulci"
"157",102816,"prcus-i",0.857610475,"CNN","less prominent sulci"
"158",103111,"prcus-i",0.24,"CNN","less prominent sulci"
"159",103414,"prcus-i",0.272559853,"CNN","less prominent sulci"
"160",103515,"prcus-i",0,"CNN","less prominent sulci"
"161",103818,"prcus-i",0.93081761,"CNN","less prominent sulci"
"162",104012,"prcus-i",0,"CNN","less prominent sulci"
"163",104416,"prcus-i",0.878953108,"CNN","less prominent sulci"
"164",104820,"prcus-i",0.461309524,"CNN","less prominent sulci"
"165",105014,"prcus-i",0.318644068,"CNN","less prominent sulci"
"166",105115,"prcus-i",0.291725105,"CNN","less prominent sulci"
"167",105216,"prcus-i",0.310254163,"CNN","less prominent sulci"
"168",105620,"prcus-i",0,"CNN","less prominent sulci"
"169",105923,"prcus-i",0.065162907,"CNN","less prominent sulci"
"170",106016,"prcus-i",0,"CNN","less prominent sulci"
"171",106319,"prcus-i",0.288557214,"CNN","less prominent sulci"
"172",106521,"prcus-i",0.108786611,"CNN","less prominent sulci"
"173",107018,"prcus-i",0.921409214,"CNN","less prominent sulci"
"174",107220,"prcus-i",0.883950617,"CNN","less prominent sulci"
"175",107321,"prcus-i",0.892230576,"CNN","less prominent sulci"
"176",107422,"prcus-i",0.092154421,"CNN","less prominent sulci"
"177",107725,"prcus-i",0.958029197,"CNN","less prominent sulci"
"178",108121,"prcus-i",0.655339806,"CNN","less prominent sulci"
"179",108222,"prcus-i",0.896787423,"CNN","less prominent sulci"
"180",108323,"prcus-i",0.446428571,"CNN","less prominent sulci"
"181",108525,"prcus-i",0.674418605,"CNN","less prominent sulci"
"182",108828,"prcus-i",0.665961945,"CNN","less prominent sulci"
"183",109123,"prcus-i",0.932138284,"CNN","less prominent sulci"
"184",109325,"prcus-i",0.686770428,"CNN","less prominent sulci"
"185",109830,"prcus-i",0,"CNN","less prominent sulci"
"186",110007,"prcus-i",0.828618968,"CNN","less prominent sulci"
"187",110411,"prcus-i",0.851424172,"CNN","less prominent sulci"
