"","sub","hemi","tert_group","R_coord","A_coord","S_coord","tert_group3","ControlB_R_coord","ControlB_A_coord","ControlB_S_coord","ControlC_R_coord","ControlC_A_coord","ControlC_S_coord","dataset"
"11",101107,"lh","lh_23",-3.49520634920635,-6.77569841269841,11.5057301587302,"with_3",-4.39959842519685,-17.9399803149606,10.6686377952756,-3.64944520547945,-7.63452054794521,9.57841095890411,"HCP_discovery"
"12",101107,"rh","rh_23",5.92441860465116,-15.2668837209302,9.76651162790698,"with_3",9.91173177842566,-22.7857755102041,11.0041049562682,6.33094485294118,-8.48182904411765,9.49158088235294,"HCP_discovery"
"13",107725,"lh","lh_123",-3.81748913043478,-12.9529184782609,13.1466576086956,"with_3",-2.54719417475728,-9.59016504854369,12.6541747572816,-2.7884921875,-6.3409140625,9.6430390625,"HCP_discovery"
"14",107725,"rh","rh_123",6.02827692307692,-6.42715384615385,11.1572769230769,"with_3",5.65711111111111,-13.4034236111111,13.4027222222222,5.73325,-6.55454931972789,9.63743707482993,"HCP_discovery"
"15",109830,"lh","lh_23",-4.12914414414414,-6.32608108108108,6.75568468468469,"with_3",-3.74935135135135,-6.74294594594595,6.24418918918919,-3.08498571428571,-5.37712857142857,4.17995952380952,"HCP_discovery"
"16",109830,"rh","rh_23",6.56966071428571,-12.7008571428571,7.29869642857143,"with_3",7.33925992779783,-13.7734873646209,8.23818411552346,6.81863967611336,-11.6696224696356,8.37901214574899,"HCP_discovery"
"17",112920,"lh","lh_123",-3.28596195652174,-4.20585326086957,18.1639130434783,"with_3",-2.48916,-9.27413333333333,22.2483333333333,-3.37526724137931,-8.38127931034483,14.8971224137931,"HCP_discovery"
"18",112920,"rh","rh_123",6.62416923076923,-14.6656230769231,16.0421615384615,"with_3",6.15885,-9.550375,16.840725,5.9437217877095,-2.81182011173184,15.0625273743017,"HCP_discovery"
"19",114924,"lh","lh_12",-4.1562962962963,-26.4371111111111,11.0306296296296,"without_3",-3.39294117647059,-26.8631323529412,10.9758897058824,-5.84115015479876,-24.7028854489164,14.4520325077399,"HCP_discovery"
"20",114924,"rh","rh_2",5.22140476190476,-25.195,15.2479523809524,"without_3",4.77453465346535,-24.2732475247525,14.4954059405941,4.56683012820513,-17.8253894230769,18.2925400641026,"HCP_discovery"
"21",128127,"lh","lh_12",-3.88235714285714,-11.8272142857143,11.6530714285714,"without_3",-3.51444761904762,-12.7383428571429,14.7320761904762,-4.50143380855397,-11.4104867617108,11.2425356415479,"HCP_discovery"
"22",128127,"rh","rh_12",7.34168131868132,-5.84161538461538,10.4148351648352,"without_3",4.2986,-12.1216,10.0436285714286,5.79664600326264,-7.58282707993475,8.56566231647635,"HCP_discovery"
"23",133928,"lh","lh_123",-5.66818181818182,-17.21575,9.91960795454546,"with_3",-3.91623376623377,-9.4044025974026,12.7373636363636,-3.88166247755835,-2.23314183123878,7.89336804308797,"HCP_discovery"
"24",133928,"rh","rh_12",5.96961363636364,-12.5705,10.8482954545455,"without_3",5.68454621848739,-13.9233277310924,11.2771596638655,5.81388006482982,-6.51135656401945,9.28980226904376,"HCP_discovery"
"25",144125,"lh","lh_2",-5.21135398230088,-15.7255575221239,9.85564601769911,"without_3",-4.13098955613577,-15.3276788511749,11.3546187989556,-5.55175530410184,-6.90180905233381,9.58884158415842,"HCP_discovery"
"26",144125,"rh","rh_123",5.11575384615385,-13.7703538461538,9.48413846153846,"with_3",5.58044270833333,-17.3198333333333,9.90497916666667,5.71723379923761,-8.63940406607369,10.4605756035578,"HCP_discovery"
"27",146937,"lh","lh_12",-3.66361538461538,-8.50610256410256,7.26371794871795,"without_3",-6.10522916666667,-10.6248506944444,9.81881597222222,-6.46908167330677,-9.48493426294821,6.55433067729084,"HCP_discovery"
"28",146937,"rh","rh_2",7.02493700787402,-9.37534645669291,10.4103858267717,"without_3",6.25121714285714,-13.0210914285714,10.87804,7.03930885529158,-6.70909719222462,8.05631101511879,"HCP_discovery"
"29",151425,"lh","lh_123",-4.884925,1.37815625,9.01901875,"with_3",-3.87652941176471,-4.86949264705882,7.78544117647059,-4.01009302325581,-2.69917829457364,3.91192506459948,"HCP_discovery"
"30",151425,"rh","rh_2",5.25210465116279,2.89997674418605,7.16433720930232,"without_3",9.70633161512028,-12.8773591065292,9.34352920962199,5.26547741935484,0.305503225806452,5.66056774193548,"HCP_discovery"
"31",151829,"lh","lh_12",-4.44684,-7.4594,6.97204,"without_3",-4.28125892857143,-11.1854017857143,8.46379464285714,-5.48292721518987,-9.71981329113924,6.5829335443038,"HCP_discovery"
"32",151829,"rh","rh_12",6.18378205128205,-6.45052564102564,9.13816666666666,"without_3",8.07558518518519,-14.2338296296296,8.82848148148148,7.00454054054054,-7.46075051975052,6.6094158004158,"HCP_discovery"
"33",164939,"lh","lh_2",-3.42017391304348,-5.17655072463768,11.041231884058,"without_3",NA,NA,NA,-4.50955160142349,-8.39632028469751,7.09451957295374,"HCP_discovery"
"34",164939,"rh","rh_23",0,0,0,"with_3",5.93075,-12.9957857142857,7.032875,6.93401256281407,-8.95067336683417,6.16195728643216,"HCP_discovery"
"35",176744,"lh","lh_2",-4.07766875,-7.9277125,11.79505,"without_3",-3.27430434782609,-14.6740434782609,7.23865217391304,-3.6218799249531,-7.26886866791745,9.65239399624766,"HCP_discovery"
"36",176744,"rh","rh_123",9.33748894348894,-15.2330049140049,14.859457002457,"with_3",8.93740222222222,-15.6663355555556,13.2611177777778,7.04822732919255,-5.53974906832298,9.42893291925466,"HCP_discovery"
"37",180937,"lh","lh_123",-3.13867213114754,-13.3102295081967,13.6762459016393,"with_3",-3.70423300970874,-15.1864174757282,15.9629902912621,-4.42767481203008,-13.4415845864662,15.256227443609,"HCP_discovery"
"38",180937,"rh","rh_123",8.0472,-5.72741739130435,16.5879565217391,"with_3",7.46402790697674,-13.472976744186,13.6983209302326,7.58224753559693,-5.04595728368017,15.8688455640745,"HCP_discovery"
"39",185947,"lh","lh_2",-4.02785,-13.339175,10.5191,"without_3",-3.85949,-10.14135,11.48653,-3.61772084805654,-7.48493639575972,6.89288339222615,"HCP_discovery"
"40",185947,"rh","rh_23",6.78824576271187,-15.4592288135593,11.8592796610169,"with_3",6.36355102040816,-15.8766020408163,11.6878979591837,7.06146603260869,-9.53439809782609,10.5745108695652,"HCP_discovery"
"41",214019,"lh","lh_2",-4.09485185185185,-2.61237037037037,9.83455555555555,"without_3",-3.40068571428571,-9.61862857142857,6.90865714285714,-4.75149060542797,-3.84991231732777,8.70998329853862,"HCP_discovery"
"42",214019,"rh","rh_23",6.11307526881721,-11.828311827957,11.0103978494624,"with_3",5.36268666666667,-11.2707866666667,10.53976,5.43337311935807,-6.60393881644935,9.8634332998997,"HCP_discovery"
"43",268749,"lh","lh_123",-6.06839705882353,-12.2763235294118,13.3435294117647,"with_3",-4.58422413793103,-15.2648103448276,9.0426724137931,-6.48940681362725,-13.1062825651303,11.492376753507,"HCP_discovery"
"44",268749,"rh","rh_12",5.75472619047619,-10.0337142857143,14.9164761904762,"without_3",4.53565384615385,-17.8366538461538,7.38465384615385,5.7269913899139,-10.7183357933579,13.0420996309963,"HCP_discovery"
"45",365343,"lh","lh_123",-5.5367,-14.1367615384615,10.8460769230769,"with_3",-3.93346666666667,-10.0393,11.0383666666667,-5.37669607843137,-12.6124673202614,4.35329411764706,"HCP_discovery"
"46",365343,"rh","rh_123",6.48614516129032,-15.3269032258065,10.237064516129,"with_3",5.57184705882353,-13.2735411764706,11.2412235294118,7.28584210526316,-9.96950607287449,8.11886032388664,"HCP_discovery"
"47",380036,"lh","lh_123",-4.24461904761905,-3.24120238095238,14.9759523809524,"with_3",-3.28936496350365,-7.65559124087591,15.4931751824817,-3.71377819548872,-6.29856015037594,11.2939661654135,"HCP_discovery"
"48",380036,"rh","rh_123",6.96626388888889,-10.5754166666667,12.5368333333333,"with_3",7.55594715447154,-14.8103089430894,12.6203617886179,6.89969575471698,-5.96143985849057,10.9017724056604,"HCP_discovery"
"49",517239,"lh","lh_123",-3.71638636363636,-18.96525,22.3803068181818,"with_3",-2.17586666666667,-18.3585,21.0992,-3.48822727272727,-11.1001737967914,19.3548409090909,"HCP_discovery"
"50",517239,"rh","rh_23",9.93369945355191,-17.1590327868852,23.7613989071038,"with_3",12.1257317647059,-21.9856164705882,21.15692,9.52391163210099,-16.449342651037,19.4947484220018,"HCP_discovery"
"51",522434,"lh","lh_23",-3.60254545454545,-5.47110101010101,13.6675555555556,"with_3",-4.73801117318436,-12.9436703910615,13.5746592178771,-3.68556831395349,-11.7948328488372,14.6513997093023,"HCP_discovery"
