sub,hemi,label,total_surface_area_.mm.2.,cortical_thickness_mean,dataset,group,group_hemi,sulcal_depth_mm
002_S_1280,lh,prcus-i,341,2.345,ADNI,older adult,oa lh,10.3982531078137
002_S_1280,lh,prcus-p,477,2.023,ADNI,older adult,oa lh,10.7206927507994
002_S_1280,lh,spls,600,2.206,ADNI,older adult,oa lh,12.4701101276892
002_S_1280,lh,sps,725,1.847,ADNI,older adult,oa lh,13.8623510243473
002_S_1280,rh,ifrms,58,3.068,ADNI,older adult,oa rh,2.53004891283708
002_S_1280,rh,mcgs,606,2.011,ADNI,older adult,oa rh,11.873716079275
002_S_1280,rh,pos,933,1.992,ADNI,older adult,oa rh,18.4510195593335
002_S_1280,rh,prculs,121,2.19,ADNI,older adult,oa rh,9.29262112184195
002_S_1280,rh,prcus-a,246,1.864,ADNI,older adult,oa rh,9.44248530055415
002_S_1280,rh,prcus-i,307,2.457,ADNI,older adult,oa rh,5.83230251928006
002_S_1280,rh,prcus-p,464,1.94,ADNI,older adult,oa rh,9.20717780874287
002_S_1280,rh,spls,509,2.273,ADNI,older adult,oa rh,10.6420590187285
002_S_1280,rh,sps,775,2.048,ADNI,older adult,oa rh,15.0887569676264
002_S_1280,rh,sspls,12,2.835,ADNI,older adult,oa rh,0.99931074629801
002_S_4213,lh,icgs-p,120,3.365,ADNI,older adult,oa lh,1.64103548427904
002_S_4213,lh,ifrms,67,2.917,ADNI,older adult,oa lh,7.13642328332267
002_S_4213,lh,mcgs,484,2.211,ADNI,older adult,oa lh,11.7835964424303
002_S_4213,lh,pos,782,2.26,ADNI,older adult,oa lh,22.3735497424782
002_S_4213,lh,prculs,636,2.055,ADNI,older adult,oa lh,16.4405672964037
002_S_4213,lh,prcus-a,280,1.965,ADNI,older adult,oa lh,11.7998832069404
002_S_4213,lh,prcus-i,240,2.659,ADNI,older adult,oa lh,7.27887921750844
002_S_4213,lh,prcus-p,111,2.704,ADNI,older adult,oa lh,3.52392747928302
002_S_4213,lh,spls,581,2.461,ADNI,older adult,oa lh,13.5371963025755
002_S_4213,lh,sps,930,1.969,ADNI,older adult,oa lh,15.186463483793
002_S_4213,lh,sspls,63,2.718,ADNI,older adult,oa lh,2.66945120361768
002_S_4213,rh,icgs-p,162,3.097,ADNI,older adult,oa rh,1.43853832127609
002_S_4213,rh,ifrms,29,2.93,ADNI,older adult,oa rh,1.25424998416503
