"","sub","hemi","label","cortical_thickness_mean","myelin","dataset","ratio","label_dataset"
"149",109830,"lh","pos",2.489,1.43557953834534,"HCP_discovery",1.73379456415828,"POS d"
"150",109830,"lh","spls",2.632,1.33240783214569,"HCP_discovery",1.97537115626337,"spls d"
"151",109830,"lh","ifrms",3.432,1.32316625118256,"HCP_discovery",2.59377836831366,"ifrms d"
"152",109830,"rh","prcus-a",2.418,1.29035806655884,"HCP_discovery",1.87389846482565,"prcus-a d"
"153",109830,"rh","mcgs",2.105,1.32129716873169,"HCP_discovery",1.59313139376556,"MCGS d"
"154",109830,"rh","prcus-i",2.41,1.31134641170502,"HCP_discovery",1.83780576855089,"prcus-i d"
"155",109830,"rh","prcus-p",2.651,1.38945174217224,"HCP_discovery",1.90794679623452,"prcus-p d"
"156",109830,"lh","prcus-a",2.203,1.31718420982361,"HCP_discovery",1.67250714332129,"prcus-a d"
"157",109830,"lh","sps",2.006,1.27241170406342,"HCP_discovery",1.5765337536537,"sps d"
"158",109830,"rh","ifrms",3.473,1.32189345359802,"HCP_discovery",2.62729192776237,"ifrms d"
"159",109830,"lh","mcgs",2.231,1.30037248134613,"HCP_discovery",1.71566226754545,"MCGS d"
"160",109830,"rh","prculs",2.071,1.40068089962006,"HCP_discovery",1.47856660325829,"prculs d"
"161",109830,"rh","pos",2.506,1.45762097835541,"HCP_discovery",1.71923980047779,"POS d"
"162",109830,"rh","sps",2.097,1.35054206848145,"HCP_discovery",1.55270987030998,"sps d"
"163",109830,"rh","spls",2.576,1.36194467544556,"HCP_discovery",1.89141309954992,"spls d"
"164",112920,"rh","prcus-a",2.568,1.34215378761292,"HCP_discovery",1.91334258689334,"prcus-a d"
"165",112920,"rh","prcus-i",2.591,1.25632214546204,"HCP_discovery",2.06236912193178,"prcus-i d"
"166",112920,"rh","mcgs",2.382,1.33956980705261,"HCP_discovery",1.77818280724093,"MCGS d"
"167",112920,"lh","pos",2.359,1.44261145591736,"HCP_discovery",1.63522893868877,"POS d"
"168",112920,"lh","icgs-p",2.75,1.157621503,"HCP_discovery",2.37556057215015,"icgs-p d"
"169",112920,"rh","prcus-p",2.483,1.32613062858582,"HCP_discovery",1.87236456686613,"prcus-p d"
"170",112920,"rh","prculs",2.486,1.441650390625,"HCP_discovery",1.72441253175275,"prculs d"
"171",112920,"lh","prculs",2.192,1.40380811691284,"HCP_discovery",1.5614669651722,"prculs d"
"172",112920,"lh","sspls",2.903,1.452982187,"HCP_discovery",1.99795980017751,"sspls d"
"173",112920,"rh","sspls",3.172,1.426345468,"HCP_discovery",2.22386516532193,"sspls d"
"174",112920,"rh","icgs-p",3.449,1.284303069,"HCP_discovery",2.68550319877808,"icgs-p d"
"175",112920,"lh","spls",2.78,1.33351576328278,"HCP_discovery",2.08471476419322,"spls d"
"176",112920,"rh","pos",2.459,1.46099901199341,"HCP_discovery",1.68309490958854,"POS d"
"177",112920,"rh","spls",2.788,1.37239360809326,"HCP_discovery",2.03148716487649,"spls d"
"178",112920,"rh","ifrms",3.548,1.30576968193054,"HCP_discovery",2.71717137340361,"ifrms d"
"179",112920,"lh","mcgs",2.309,1.30127882957459,"HCP_discovery",1.7744083339578,"MCGS d"
"180",112920,"lh","prcus-a",2.695,1.26417458057404,"HCP_discovery",2.13182581062202,"prcus-a d"
"181",112920,"rh","sps",2.135,1.30829477310181,"HCP_discovery",1.63189523026082,"sps d"
"182",112920,"lh","prcus-i",2.387,1.27142059803009,"HCP_discovery",1.87742750408351,"prcus-i d"
"183",112920,"lh","prcus-p",2.656,1.36967086791992,"HCP_discovery",1.93915199790559,"prcus-p d"
"184",112920,"lh","sps",2.307,1.37516438961029,"HCP_discovery",1.67761761243235,"sps d"
"185",112920,"lh","ifrms",3.24,1.34547424316406,"HCP_discovery",2.40807285346519,"ifrms d"
"186",114924,"lh","ifrms",3.3,1.32073104381561,"HCP_discovery",2.49861621368894,"ifrms d"
"187",114924,"lh","prcus-a",2.613,1.30269408226013,"HCP_discovery",2.00584314888921,"prcus-a d"
"188",114924,"lh","sspls",3.217,1.40567255,"HCP_discovery",2.28858420832078,"sspls d"
"189",114924,"lh","mcgs",2.135,1.32577455043793,"HCP_discovery",1.61037938109067,"MCGS d"
"190",114924,"rh","mcgs",2.329,1.3433393239975,"HCP_discovery",1.73373916656395,"MCGS d"
"191",114924,"rh","sps",2.106,1.38685548305511,"HCP_discovery",1.51854322655212,"sps d"
"192",114924,"rh","prcus-i",2.634,1.33578586578369,"HCP_discovery",1.97187293822327,"prcus-i d"
"193",114924,"rh","ifrms",2.924,1.38453924655914,"HCP_discovery",2.11189390785905,"ifrms d"
"194",114924,"lh","prculs",2.074,1.30670726299286,"HCP_discovery",1.58719558598744,"prculs d"
"195",114924,"lh","pos",2.237,1.46261465549469,"HCP_discovery",1.52945274518899,"POS d"
"196",114924,"lh","prcus-i",2.229,1.23849904537201,"HCP_discovery",1.79975915874079,"prcus-i d"
"197",114924,"lh","prcus-p",2.7,1.29824531078339,"HCP_discovery",2.07973021552511,"prcus-p d"
"198",114924,"rh","prcus-p",2.882,1.27978992462158,"HCP_discovery",2.25193209022346,"prcus-p d"
"199",114924,"rh","prculs",2.179,1.33894002437592,"HCP_discovery",1.62740672496935,"prculs d"
"200",114924,"rh","prcus-a",2.343,1.24828386306763,"HCP_discovery",1.87697691953025,"prcus-a d"
"201",114924,"rh","spls",2.677,1.32024586200714,"HCP_discovery",2.02765263428299,"spls d"
"202",114924,"lh","sps",2.389,1.27634620666504,"HCP_discovery",1.87174920685682,"sps d"
"203",114924,"lh","spls",2.553,1.32801103591919,"HCP_discovery",1.92242378334825,"spls d"
"204",114924,"rh","pos",2.473,1.42172920703888,"HCP_discovery",1.73943110105381,"POS d"
"205",128127,"lh","prcus-a",2.248,1.22659170627594,"HCP_discovery",1.83272069140689,"prcus-a d"
"206",128127,"rh","ifrms",3.252,1.3152266740799,"HCP_discovery",2.47257758992382,"ifrms d"
"207",128127,"lh","pos",2.252,1.43331611156464,"HCP_discovery",1.57118166873996,"POS d"
"208",128127,"lh","prcus-i",2.561,1.27545893192291,"HCP_discovery",2.00790471249355,"prcus-i d"
"209",128127,"lh","prcus-p",2.517,1.30763030052185,"HCP_discovery",1.92485597725559,"prcus-p d"
"210",128127,"lh","prculs",2.336,1.35724055767059,"HCP_discovery",1.72113925331648,"prculs d"
"211",128127,"rh","mcgs",2.203,1.28152370452881,"HCP_discovery",1.71904740600175,"MCGS d"
"212",128127,"rh","prcus-a",2.392,1.33141922950745,"HCP_discovery",1.79657912923858,"prcus-a d"
"213",128127,"rh","prcus-i",2.284,1.27085626125336,"HCP_discovery",1.79721347695722,"prcus-i d"
"214",128127,"lh","sps",2.218,1.30706179141998,"HCP_discovery",1.69693584079937,"sps d"
"215",128127,"rh","pos",2.353,1.43419921398163,"HCP_discovery",1.64063679373216,"POS d"
"216",128127,"lh","mcgs",2.127,1.31640720367432,"HCP_discovery",1.61576144073291,"MCGS d"
"217",128127,"rh","sspls",3.328,1.421836972,"HCP_discovery",2.34063402875136,"sspls d"
"218",128127,"lh","ifrms",3.184,1.41063988208771,"HCP_discovery",2.2571317034421,"ifrms d"
"219",128127,"rh","prcus-p",2.094,1.30787062644959,"HCP_discovery",1.60107579270625,"prcus-p d"
"220",128127,"rh","prculs",2.214,1.34127426147461,"HCP_discovery",1.6506691163714,"prculs d"
