,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,myelin,ct_my_ratio
0,644044,lh,iTOS,188.0,144.0,268.0,2.19,0.32,0.139,0.029,1.0,0.2,0.6405594944953918,1.0039068460464478,0.3587857484817505,1.4842007160186768,1.4931331872940063
0,644044,lh,IPS-PO,1315.0,935.0,1785.0,2.206,0.357,0.089,0.013,5.0,0.8,0.588270366191864,1.4125717878341675,0.32949790358543396,1.3852249383926392,1.6030703783035278
0,644044,lh,sB,451.0,321.0,673.0,2.155,0.29,0.084,0.009,1.0,0.2,0.11778724193572998,1.0220104455947876,0.0659741759300232,1.3726390600204468,1.5798723697662354
0,644044,lh,pips,358.0,250.0,507.0,2.192,0.307,0.088,0.014,1.0,0.3,0.6242533326148987,1.2982659339904785,0.34965240955352783,1.3105322122573853,1.6755324602127075
0,644044,lh,IPS,1491.0,1054.0,2008.0,2.08,0.33,0.108,0.016,7.0,1.3,0.5989879965782166,1.5811524391174316,0.33550095558166504,1.3851910829544067,1.5082788467407227
0,644044,lh,SPS,749.0,541.0,1002.0,2.073,0.263,0.102,0.017,3.0,0.6,0.11914179474115372,0.7889863848686218,0.06673286855220795,1.3372560739517212,1.560797095298767
0,644044,lh,aipsJ,459.0,318.0,658.0,2.373,0.318,0.103,0.022,2.0,0.4,0.6907986402511597,1.3645191192626953,0.3869253396987915,1.3539037704467773,1.7588666677474976
0,644044,lh,SmgS,256.0,192.0,479.0,2.491,0.275,0.124,0.022,1.0,0.3,-0.485545814037323,-0.02943309023976326,-0.2719605267047882,1.2392125129699707,2.0151429176330566
0,644044,rh,STS,3325.0,2345.0,5731.0,2.703,0.429,0.094,0.016,12.0,2.5,0.4631943106651306,1.516666293144226,0.26314976811408997,1.3000693321228027,2.10178279876709
0,644044,rh,cSTS1,1112.0,799.0,1857.0,2.529,0.416,0.108,0.018,5.0,0.9,0.36309435963630676,1.1868596076965332,0.20628100633621216,1.3183422088623047,1.9257233142852783
0,644044,rh,cSTS2,220.0,164.0,422.0,2.733,0.445,0.135,0.024,2.0,0.2,-0.3265882730484009,-0.07318779826164246,-0.18554118275642395,1.2081847190856934,2.26641845703125
0,644044,rh,cSTS3,1412.0,998.0,2182.0,2.37,0.399,0.09,0.013,5.0,0.8,0.517879843711853,1.4392770528793335,0.29421767592430115,1.3138965368270874,1.8124911785125732
0,644044,rh,SLOS,125.0,98.0,238.0,2.44,0.247,0.115,0.017,0.0,0.1,-0.4216853678226471,-0.20049436390399933,-0.23956766724586487,1.2811113595962524,1.9040007591247559
0,644044,rh,SLOS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,644044,rh,SLOS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,644044,rh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,644044,rh,mTOS,277.0,190.0,343.0,2.076,0.151,0.079,0.011,1.0,0.1,0.48531267046928406,1.1680796146392822,0.2757156193256378,1.548371434211731,1.3450124263763428
0,644044,rh,iTOS,147.0,103.0,223.0,2.086,0.279,0.142,0.023,1.0,0.2,-0.06645890325307846,0.13115419447422028,-0.037756603211164474,1.394329309463501,1.498481273651123
0,644044,rh,IPS-PO,1259.0,907.0,1675.0,2.08,0.295,0.101,0.016,6.0,0.9,0.45542430877685547,1.2272589206695557,0.25873544812202454,1.4065104722976685,1.4926894903182983
0,644044,rh,sB,316.0,239.0,555.0,2.244,0.408,0.106,0.032,4.0,0.5,0.15018697082996368,1.0339223146438599,0.08532415330410004,1.2825701236724854,1.754042387008667
0,644044,rh,pips,187.0,131.0,230.0,2.334,0.256,0.102,0.019,1.0,0.1,1.1003354787826538,1.4613817930221558,0.6251220703125,1.3830111026763916,1.6940405368804932
0,644044,rh,IPS,1911.0,1353.0,2650.0,2.134,0.32,0.099,0.015,8.0,1.4,0.5797101259231567,1.738627314567566,0.3293446898460388,1.3657814264297485,1.5745177268981934
0,644044,rh,SPS,840.0,591.0,1046.0,1.929,0.259,0.102,0.017,4.0,0.6,0.1585237979888916,0.6056867837905884,0.09006047993898392,1.3330680131912231,1.4614231586456299
0,644044,rh,aipsJ,336.0,238.0,511.0,2.37,0.234,0.111,0.018,2.0,0.3,0.277658611536026,1.048264503479004,0.15774329006671906,1.2791872024536133,1.8593339920043945
0,644044,rh,SmgS,98.0,77.0,189.0,2.263,0.269,0.148,0.025,1.0,0.2,-0.4784553349018097,-0.2031487226486206,-0.2718198299407959,1.190061330795288,1.9003788232803345
0,128127,lh,STS,2170.0,1561.0,3563.0,2.534,0.36,0.092,0.014,8.0,1.3,0.5643682479858398,1.398637056350708,0.2931322157382965,1.3046574592590332,1.9498834609985352
0,128127,lh,cSTS1,1107.0,804.0,1568.0,2.198,0.333,0.106,0.015,5.0,0.8,0.4541689455509186,1.342944860458374,0.2358948141336441,1.2794325351715088,1.7254853248596191
0,128127,lh,cSTS2,559.0,397.0,923.0,2.441,0.357,0.1,0.014,2.0,0.4,0.5032523274421692,1.2981619834899902,0.26138871908187866,1.2731235027313232,1.9187421798706055
0,128127,lh,cSTS3,989.0,737.0,1589.0,2.51,0.427,0.127,0.022,7.0,0.9,0.34899666905403137,1.138662576675415,0.18126848340034485,1.3110789060592651,1.9173356294631958
0,128127,lh,SLOS,100.0,70.0,194.0,2.714,0.299,0.133,0.035,1.0,0.2,-0.16137191653251648,0.22000625729560852,-0.08381637930870056,1.404945969581604,1.9381699562072754
0,128127,lh,SLOS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,128127,lh,SLOS3,44.0,37.0,106.0,2.564,0.17,0.177,0.038,0.0,0.1,-0.45177915692329407,-0.15594330430030823,-0.23465357720851898,1.2849202156066895,1.9974018335342407
0,128127,lh,SLOS4,85.0,67.0,175.0,2.683,0.281,0.158,0.041,1.0,0.1,-0.3171294629573822,-0.01289182435721159,-0.1647166758775711,1.2879059314727783,2.0840821266174316
0,128127,lh,mTOS,358.0,249.0,488.0,2.106,0.209,0.101,0.012,2.0,0.1,0.2480836808681488,0.9112396240234375,0.1288543939590454,1.5130434036254883,1.4055359363555908
0,128127,lh,iTOS,138.0,92.0,171.0,2.29,0.315,0.132,0.031,1.0,0.2,0.5304019451141357,0.9839207530021667,0.2754901647567749,1.4390106201171875,1.5923337936401367
0,128127,lh,IPS-PO,919.0,680.0,1307.0,2.194,0.219,0.098,0.016,4.0,0.6,0.38875722885131836,0.9832602739334106,0.20192007720470428,1.3890470266342163,1.5831584930419922
0,128127,lh,sB,187.0,155.0,321.0,2.045,0.227,0.126,0.021,1.0,0.1,-0.10075919330120087,0.4715719223022461,-0.05233420804142952,1.380297303199768,1.485457181930542
0,128127,lh,pips,210.0,142.0,242.0,2.256,0.219,0.141,0.033,2.0,0.3,0.8081929683685303,1.1434746980667114,0.41977453231811523,1.3940318822860718,1.6190412044525146
0,128127,lh,IPS,2624.0,1896.0,3543.0,2.142,0.285,0.104,0.016,13.0,1.8,0.7010043263435364,1.5776801109313965,0.3641008734703064,1.3494495153427124,1.5938374996185303
0,128127,lh,SPS,819.0,606.0,1106.0,2.039,0.322,0.125,0.024,5.0,0.9,0.1718333661556244,0.9541494250297546,0.08925004303455353,1.332033634185791,1.537044882774353
0,128127,lh,aipsJ,469.0,341.0,690.0,2.312,0.28,0.137,0.027,4.0,0.5,0.25833913683891296,1.0158703327178955,0.13418105244636536,1.326550006866455,1.7466830015182495
0,128127,lh,SmgS,581.0,435.0,858.0,2.327,0.349,0.122,0.015,4.0,0.4,0.048662569373846054,0.5824198126792908,0.025275282561779022,1.245768427848816,1.8710227012634277
0,128127,rh,STS,3350.0,2375.0,5954.0,2.812,0.43,0.099,0.015,14.0,2.3,0.448041707277298,1.4677494764328003,0.23870718479156494,1.2884989976882935,2.1931049823760986
0,128127,rh,cSTS1,771.0,560.0,1152.0,2.412,0.302,0.109,0.015,4.0,0.6,0.12447698414325714,0.6736552715301514,0.06631871312856674,1.2751753330230713,1.8919275999069214
0,128127,rh,cSTS2,821.0,547.0,1187.0,2.372,0.247,0.084,0.01,3.0,0.5,0.5688984990119934,1.296364426612854,0.3030971586704254,1.3019838333129883,1.8259886503219604
