Sulci,beta
prculs-d,-1.4939697395982297
prcus-p,-2.253476541911028
prcus-i,-3.408086688850184
prcus-a,-1.604149506614473
ifrms,-2.7583877359809343
sspls-v,0.4260686337806566
mcgs,-0.7269735224291194
pos,-0.0
sbps,-0.0
prculs-d,-1.5302106760188656
prcus-p,-2.3845526556083447
prcus-i,-3.480894493705129
prcus-a,-1.6354879407302372
ifrms,-2.8121503985310357
sspls-v,0.3988058990823686
mcgs,-0.6624886163535
pos,-1.0536581232338802
sbps,0.835151213317141
prculs-d,-0.7704245350747292
prcus-p,-2.7525138825876323
prcus-i,-2.071083451430301
prcus-a,-1.4370835075342974
ifrms,-2.4910456558952245
sspls-v,0.10112636361813938
mcgs,-1.1174169909236247
pos,0.17678928820910772
sbps,-0.0
prculs-d,-1.4777775384682994
prcus-p,-2.563010192789411
prcus-i,-3.285715610825402
prcus-a,-1.7970015243138684
ifrms,-3.0443185665684385
sspls-v,0.26798636170885903
mcgs,-0.8592209631109872
pos,0.0
sbps,-0.030318636180678205
prculs-d,-1.5523886712366552
prcus-p,-2.338521390935612
prcus-i,-3.2823900297017468
prcus-a,-1.6568000664262765
ifrms,-2.7570515859567903
sspls-v,0.5655891405545935
mcgs,-1.0505198601262886
pos,0.0
sbps,-0.0
prculs-d,-1.6400924819322726
prcus-p,-2.2591204911673266
prcus-i,-3.4549173113765255
prcus-a,-1.265798507287773
ifrms,-2.9235263126076365
sspls-v,0.3850821303765141
mcgs,-0.7468074538120508
pos,-0.0
sbps,0.029088964753635503
prculs-d,-1.693374190884988
prcus-p,-2.5056053932631537
prcus-i,-3.323212692456776
prcus-a,-1.4972899901072532
ifrms,-2.6380848621559756
sspls-v,0.6197943904851448
mcgs,-0.47061324024568646
pos,0.0
sbps,0.0
prculs-d,-1.5637567828709689
prcus-p,-1.971783654252803
prcus-i,-3.1640124812032213
prcus-a,-1.458119216467728
ifrms,-2.834984157998967
sspls-v,0.501513144149611
mcgs,-0.8016472438312553
pos,0.19784670733757798
sbps,-0.012617076417397797
prculs-d,-1.4154875968284761
prcus-p,-3.118950755274533
prcus-i,-3.318812432156119
prcus-a,-2.0260069356824606
ifrms,-2.8214086076247726
sspls-v,1.491218860525095
mcgs,-0.7679685057567195
pos,0.5136474009370301
sbps,-0.27478810848271346
prculs-d,-1.497223761057767
prcus-p,-2.2303116468564244
prcus-i,-3.3582377875743776
prcus-a,-1.294686071858742
ifrms,-2.9562024385818475
sspls-v,0.37736950781249784
mcgs,-0.29800426354702886
pos,-0.4000365560160476
sbps,-0.4093670040677425
prculs-d,-1.5800837624870832
prcus-p,-1.6594295964685568
prcus-i,-3.6746917268539137
prcus-a,-2.1592282623031513
ifrms,-3.0844258802300053
sspls-v,0.544134356034956
mcgs,-0.8580342533115011
pos,0.0
sbps,-0.0
prculs-d,-1.6896265677995284
prcus-p,-2.1572436508967856
prcus-i,-3.437156184025756
prcus-a,-1.6085614167250308
ifrms,-3.0530108158407527
sspls-v,0.5635042912835326
mcgs,-1.1892023013319342
pos,-0.04401136499837024
sbps,-0.22075224448618794
prculs-d,-1.9576935789541037
prcus-p,-2.0549807278102623
prcus-i,-3.379400509397357
prcus-a,-0.3709046418959278
ifrms,-2.6771660228007947
sspls-v,0.7732044280309445
mcgs,-0.7401220307965428
pos,-0.0
sbps,-0.0
prculs-d,-1.5821942382332135
prcus-p,-2.347990201148915
prcus-i,-3.448261073486447
prcus-a,-1.6332148427840185
ifrms,-2.860447843947242
sspls-v,0.5072199492834322
mcgs,-0.5887255676484877
pos,-0.07639654310954433
sbps,-0.848024725261169
prculs-d,-2.02224537490658
prcus-p,-1.8564110793484039
prcus-i,-2.827840687868371
prcus-a,-1.1019938833068812
ifrms,-2.488084183194489
sspls-v,0.37115429046443194
mcgs,-1.2336198467946535
pos,-0.0
sbps,0.12317133731578685
prculs-d,-1.568516204673248
prcus-p,-2.298637384901018
prcus-i,-3.7274760320986293
prcus-a,-1.7158075567695503
ifrms,-3.0856464267859125
sspls-v,0.8085053545406904
mcgs,-0.7612418996197383
pos,0.0
sbps,-0.0
prculs-d,-1.5375360979795973
prcus-p,-2.220244623838597
prcus-i,-3.443326524488557
prcus-a,-1.5931171997838465
ifrms,-2.6360630719517655
sspls-v,0.5324256230682453
mcgs,-1.1007419006925905
pos,0.278407853714921
sbps,0.08415558994668408
prculs-d,-2.0494966650103077
prcus-p,-2.77547411047919
prcus-i,-4.460272940102123
prcus-a,-2.446712037550401
ifrms,-2.7595717316027235
sspls-v,0.7265554592996074
mcgs,0.0
pos,0.0
sbps,-0.0
prculs-d,-1.7879455054360023
prcus-p,-2.1259130661490957
prcus-i,-3.188355824062345
prcus-a,-1.7768105497063855
ifrms,-2.1830816253523144
sspls-v,0.08181595173102492
mcgs,-0.4737609992680732
pos,0.0
sbps,0.0
prculs-d,-1.676397146061593
prcus-p,-1.8221839142355414
prcus-i,-3.3520741263285463
prcus-a,-1.2802507866039798
ifrms,-2.9202010529372004
sspls-v,0.7932867177787196
mcgs,-0.6742995473861881
pos,-0.0
sbps,-0.0
prculs-d,-1.5512690139493708
prcus-p,-2.2852318356405172
prcus-i,-3.4142487221233173
prcus-a,-1.5695387405770704
ifrms,-2.8180708333595086
sspls-v,0.545559957575127
mcgs,-0.08205620723374081
pos,-0.1803576492315295
sbps,-0.04539856994430524
prculs-d,-0.2096843547320005
prcus-p,-1.8812679095118394
prcus-i,-2.882411833046428
prcus-a,-1.61835625205746
ifrms,-2.259561165395846
sspls-v,0.417115989679896
mcgs,-0.9184365470304755
pos,0.5235119220654088
sbps,0.2633562143660619
prculs-d,-1.1647545944341862
prcus-p,-2.3241536267573983
prcus-i,-2.9842926245060277
prcus-a,-0.9767613714838626
ifrms,-2.803793554505338
sspls-v,0.18067803026522236
mcgs,-0.8846776967030513
pos,-0.0
sbps,0.0
prculs-d,-0.711734374304249
prcus-p,-2.127866017506455
prcus-i,-3.4279252579495587
prcus-a,-1.5284530816716742
ifrms,-3.137675090110333
sspls-v,0.056760865614934736
mcgs,-0.6602059392606446
pos,0.05074650148375824
sbps,-0.0
prculs-d,-1.4520010466961442
prcus-p,-1.7250128664076791
prcus-i,-2.7155920264339217
prcus-a,-1.1429080748214315
ifrms,-2.7131834712737772
sspls-v,0.20748385206744546
mcgs,-0.7006335985802208
pos,-0.0
sbps,-0.0
prculs-d,-1.4697430478289584
prcus-p,-1.6689588301017175
prcus-i,-3.421960513714931
prcus-a,-1.0847002172713618
ifrms,-3.260201584848305
sspls-v,0.11537359989179548
mcgs,-0.5128071490040463
pos,-0.04617979932985376
sbps,-0.5024078211040729
prculs-d,-1.6433373679969725
prcus-p,-1.7395935016163995
prcus-i,-3.071293711886189
prcus-a,-1.3788155968845217
ifrms,-2.493602229415053
sspls-v,0.7167391762214478
mcgs,-0.7637038975501311
pos,0.0
sbps,-0.0
prculs-d,-1.4950604772081375
prcus-p,-2.154557136095584
prcus-i,-3.3325040848630754
prcus-a,-1.5029394338053343
ifrms,-2.7608069842642426
sspls-v,0.5136140923550441
mcgs,-0.9017911427817488
pos,0.0
sbps,-0.0
prculs-d,-1.4710150672640196
prcus-p,-2.2032056789420267
prcus-i,-3.3483404759367503
prcus-a,-1.5560743791217837
ifrms,-2.736559632265848
sspls-v,0.4007417508999797
mcgs,-0.691024669808245
pos,-0.0
sbps,-0.0
prculs-d,-1.5073485461573113
prcus-p,-2.333256924474295
prcus-i,-3.4208503871124756
prcus-a,-1.5860663997965765
ifrms,-2.788901740294225
sspls-v,0.3750132703442693
mcgs,-0.6248263053013584
pos,-1.053398685513785
sbps,0.8179666887591963
prculs-d,-0.7496636421697196
prcus-p,-2.6879824131650794
prcus-i,-2.011101326734406
prcus-a,-1.3835857912783156
ifrms,-2.467759653191324
sspls-v,0.07535944373113265
mcgs,-1.0688572814368766
pos,0.15772099113541724
sbps,-0.0
prculs-d,-1.4545084276251676
prcus-p,-2.504076351321707
prcus-i,-3.228910266855497
prcus-a,-1.7448657980617919
ifrms,-3.012110375626609
sspls-v,0.2517875735959118
mcgs,-0.8183323399354724
pos,0.0
sbps,-0.023255149260153356
prculs-d,-1.5285291759522772
prcus-p,-2.287852752169421
prcus-i,-3.2263340868412302
prcus-a,-1.604545036267697
ifrms,-2.7277461070167193
