alpha_level,Sulci,beta,RMSE
1.35,prculs-d,-0.0,5.207574328269921
1.35,prcus-a,0.0,5.207574328269921
1.35,prcus-i,-0.1503931788206208,5.207574328269921
1.35,prcus-p,-0.22747211883677884,5.207574328269921
1.35,sbps,-0.0,5.207574328269921
1.35,sspls-v,-0.0,5.207574328269921
1.444,ifrms,-1.2081701590866443,5.215953696724105
1.444,mcgs,0.0,5.215953696724105
1.444,pos,0.0,5.215953696724105
1.444,prculs-d,-0.0,5.215953696724105
1.444,prcus-a,0.0,5.215953696724105
1.444,prcus-i,-0.03961807671650215,5.215953696724105
1.444,prcus-p,-0.16763297072058592,5.215953696724105
1.444,sbps,-0.0,5.215953696724105
1.444,sspls-v,-0.0,5.215953696724105
1.543,ifrms,-1.1305581945728673,5.2248823052269655
1.543,mcgs,0.0,5.2248823052269655
1.543,pos,0.0,5.2248823052269655
1.543,prculs-d,-0.0,5.2248823052269655
1.543,prcus-a,0.0,5.2248823052269655
1.543,prcus-i,-0.0,5.2248823052269655
1.543,prcus-p,-0.11355842778136335,5.2248823052269655
1.543,sbps,-0.0,5.2248823052269655
1.543,sspls-v,-0.0,5.2248823052269655
1.65,ifrms,-1.0552490728988781,5.241396686358284
1.65,mcgs,0.0,5.241396686358284
1.65,pos,0.0,5.241396686358284
1.65,prculs-d,-0.0,5.241396686358284
1.65,prcus-a,0.0,5.241396686358284
1.65,prcus-i,-0.0,5.241396686358284
1.65,prcus-p,-0.0417263211987933,5.241396686358284
1.65,sbps,-0.0,5.241396686358284
1.65,sspls-v,-0.0,5.241396686358284
1.764,ifrms,-0.9612050669517258,5.260187552861394
1.764,mcgs,0.0,5.260187552861394
1.764,pos,0.0,5.260187552861394
1.764,prculs-d,-0.0,5.260187552861394
1.764,prcus-a,0.0,5.260187552861394
1.764,prcus-i,-0.0,5.260187552861394
1.764,prcus-p,-0.0,5.260187552861394
1.764,sbps,-0.0,5.260187552861394
1.764,sspls-v,-0.0,5.260187552861394
1.885,ifrms,-0.8519675468706116,5.284898311592728
1.885,mcgs,0.0,5.284898311592728
1.885,pos,0.0,5.284898311592728
1.885,prculs-d,-0.0,5.284898311592728
1.885,prcus-a,0.0,5.284898311592728
1.885,prcus-i,-0.0,5.284898311592728
1.885,prcus-p,-0.0,5.284898311592728
1.885,sbps,-0.0,5.284898311592728
1.885,sspls-v,-0.0,5.284898311592728
2.015,ifrms,-0.7219675468706117,5.326683183727246
2.015,mcgs,0.0,5.326683183727246
2.015,pos,0.0,5.326683183727246
2.015,prculs-d,-0.0,5.326683183727246
2.015,prcus-a,0.0,5.326683183727246
2.015,prcus-i,-0.0,5.326683183727246
2.015,prcus-p,-0.0,5.326683183727246
2.015,sbps,-0.0,5.326683183727246
2.015,sspls-v,-0.0,5.326683183727246
2.154,ifrms,-0.5857141501307006,5.376911929494679
2.154,mcgs,0.0,5.376911929494679
2.154,pos,0.0,5.376911929494679
2.154,prculs-d,-0.0,5.376911929494679
2.154,prcus-a,0.0,5.376911929494679
2.154,prcus-i,-0.0,5.376911929494679
2.154,prcus-p,-0.0,5.376911929494679
2.154,sbps,-0.0,5.376911929494679
2.154,sspls-v,-0.0,5.376911929494679
2.303,ifrms,-0.4447329143162373,5.415098441600848
2.303,mcgs,0.0,5.415098441600848
2.303,pos,0.0,5.415098441600848
2.303,prculs-d,-0.0,5.415098441600848
2.303,prcus-a,0.0,5.415098441600848
2.303,prcus-i,-0.0,5.415098441600848
2.303,prcus-p,-0.0,5.415098441600848
2.303,sbps,-0.0,5.415098441600848
2.303,sspls-v,-0.0,5.415098441600848
2.462,ifrms,-0.28573291431623704,5.449409083249789
2.462,mcgs,0.0,5.449409083249789
2.462,pos,-0.0,5.449409083249789
2.462,prculs-d,-0.0,5.449409083249789
2.462,prcus-a,0.0,5.449409083249789
2.462,prcus-i,-0.0,5.449409083249789
2.462,prcus-p,-0.0,5.449409083249789
2.462,sbps,-0.0,5.449409083249789
2.462,sspls-v,-0.0,5.449409083249789
2.632,ifrms,-0.11573291431623685,5.460992359031518
2.632,mcgs,0.0,5.460992359031518
2.632,pos,-0.0,5.460992359031518
2.632,prculs-d,-0.0,5.460992359031518
2.632,prcus-a,0.0,5.460992359031518
2.632,prcus-i,-0.0,5.460992359031518
2.632,prcus-p,-0.0,5.460992359031518
2.632,sbps,-0.0,5.460992359031518
2.632,sspls-v,-0.0,5.460992359031518
2.814,ifrms,-0.0,5.469987308085763
2.814,mcgs,0.0,5.469987308085763
2.814,pos,-0.0,5.469987308085763
2.814,prculs-d,-0.0,5.469987308085763
2.814,prcus-a,0.0,5.469987308085763
2.814,prcus-i,-0.0,5.469987308085763
2.814,prcus-p,-0.0,5.469987308085763
2.814,sbps,-0.0,5.469987308085763
2.814,sspls-v,-0.0,5.469987308085763
3.008,ifrms,-0.0,5.448063243432888
3.008,mcgs,0.0,5.448063243432888
3.008,pos,-0.0,5.448063243432888
3.008,prculs-d,-0.0,5.448063243432888
3.008,prcus-a,0.0,5.448063243432888
3.008,prcus-i,-0.0,5.448063243432888
3.008,prcus-p,-0.0,5.448063243432888
3.008,sbps,-0.0,5.448063243432888
3.008,sspls-v,-0.0,5.448063243432888
3.215,ifrms,-0.0,5.44017094017094
3.215,mcgs,0.0,5.44017094017094
3.215,pos,-0.0,5.44017094017094
3.215,prculs-d,-0.0,5.44017094017094
3.215,prcus-a,0.0,5.44017094017094
3.215,prcus-i,-0.0,5.44017094017094
3.215,prcus-p,-0.0,5.44017094017094
3.215,sbps,-0.0,5.44017094017094
3.215,sspls-v,-0.0,5.44017094017094
3.437,ifrms,-0.0,5.44017094017094
3.437,mcgs,0.0,5.44017094017094
3.437,pos,-0.0,5.44017094017094
3.437,prculs-d,-0.0,5.44017094017094
3.437,prcus-a,0.0,5.44017094017094
3.437,prcus-i,-0.0,5.44017094017094
3.437,prcus-p,-0.0,5.44017094017094
3.437,sbps,-0.0,5.44017094017094
3.437,sspls-v,-0.0,5.44017094017094
3.675,ifrms,-0.0,5.44017094017094
3.675,mcgs,0.0,5.44017094017094
3.675,pos,-0.0,5.44017094017094
3.675,prculs-d,-0.0,5.44017094017094
3.675,prcus-a,0.0,5.44017094017094
3.675,prcus-i,-0.0,5.44017094017094
3.675,prcus-p,-0.0,5.44017094017094
3.675,sbps,-0.0,5.44017094017094
3.675,sspls-v,-0.0,5.44017094017094
3.928,ifrms,-0.0,5.44017094017094
3.928,mcgs,0.0,5.44017094017094
3.928,pos,-0.0,5.44017094017094
3.928,prculs-d,-0.0,5.44017094017094
3.928,prcus-a,0.0,5.44017094017094
3.928,prcus-i,-0.0,5.44017094017094
3.928,prcus-p,-0.0,5.44017094017094
3.928,sbps,-0.0,5.44017094017094
3.928,sspls-v,-0.0,5.44017094017094
4.199,ifrms,-0.0,5.44017094017094
4.199,mcgs,0.0,5.44017094017094
4.199,pos,-0.0,5.44017094017094
4.199,prculs-d,-0.0,5.44017094017094
4.199,prcus-a,0.0,5.44017094017094
4.199,prcus-i,-0.0,5.44017094017094
4.199,prcus-p,-0.0,5.44017094017094
4.199,sbps,-0.0,5.44017094017094
4.199,sspls-v,-0.0,5.44017094017094
4.489,ifrms,-0.0,5.44017094017094
4.489,mcgs,0.0,5.44017094017094
