alpha_level,fold,RMSE,Sulci,beta,Model
0.1,9.0,5.984149905812192,sspls-v,1.202035173409804,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,mcgs,0.44462719214359964,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,sbps,-1.7364846015558408,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,prculs-d,-0.3098545066566982,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,prcus-p,1.9997615141305478,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,prcus-i,-0.06886492728277496,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,prcus-a,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,ifrms,-2.0697727003036066,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,5.91955031944252,sspls-v,1.4652415760332063,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,mcgs,0.3879896326923454,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,sbps,-1.7913522585722956,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,prculs-d,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,prcus-p,1.9273730803891433,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,prcus-i,-0.46907771305180046,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,prcus-a,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,ifrms,-1.9521810814501792,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,5.836532714615925,sspls-v,1.6191172434281775,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,mcgs,0.5542690876760921,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,sbps,-1.623446834830725,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,prculs-d,-0.24425084487588478,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,prcus-p,1.9318598374696938,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,prcus-i,-0.30406969926011196,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,prcus-a,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,ifrms,-2.0948155990420623,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.033285166037566,sspls-v,1.4798175924029768,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,mcgs,0.31096901453868364,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,pos,-0.3098103692580298,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,sbps,-1.6475287578900284,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,prculs-d,-0.10371368623945404,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,prcus-p,2.4137615500275666,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,prcus-i,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,prcus-a,-0.09597442763790291,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,ifrms,-2.032199235191526,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,5.673157146154115,sspls-v,1.2749160479097632,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,mcgs,1.0832698740042557,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,pos,0.3220709331465433,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,sbps,-2.113702669356201,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,prculs-d,-0.3756255239557356,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,prcus-p,1.9486973230732014,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,prcus-i,-0.2602786058371076,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,prcus-a,0.47699706972889094,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,ifrms,-2.275721928443298,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,5.627723800731508,sspls-v,1.3287816362920657,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,mcgs,0.34460416138982186,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,pos,0.15399374272610789,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,sbps,-1.2052178982685615,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,prculs-d,-0.029517692045461286,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,prcus-p,2.1053015806704383,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,prcus-i,-0.19566645775880492,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,prcus-a,0.4722600069249973,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,ifrms,-1.907212682370392,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,5.896272713674757,sspls-v,1.278447641844729,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,mcgs,1.031981711551513,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,sbps,-1.8110079786110336,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,prculs-d,0.22591481133976826,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,prcus-p,1.986586441786942,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,prcus-i,-0.3481045989921906,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,prcus-a,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,5.536882178722349,ifrms,-1.409533121666559,"Lasso(alpha=0.1, max_iter=10000)"
