alpha_level,Sulci,beta,RMSE
0.208,sbps,-1.4464901037533693,5.811469063798711
0.208,sspls-v,1.268812200784927,5.811469063798711
0.223,ifrms,-1.8274682861451748,5.803699637561876
0.223,mcgs,0.3043838839498624,5.803699637561876
0.223,pos,-0.0,5.803699637561876
0.223,prculs-d,-0.0691929666387376,5.803699637561876
0.223,prcus-a,0.0,5.803699637561876
0.223,prcus-i,-0.1628756552010097,5.803699637561876
0.223,prcus-p,1.8236603774695528,5.803699637561876
0.223,sbps,-1.4140732009917545,5.803699637561876
0.223,sspls-v,1.2405900244874275,5.803699637561876
0.238,ifrms,-1.7979008742902076,5.789387203813006
0.238,mcgs,0.2818975859869267,5.789387203813006
0.238,pos,-0.0,5.789387203813006
0.238,prculs-d,-0.0554144257033677,5.789387203813006
0.238,prcus-a,-0.0,5.789387203813006
0.238,prcus-i,-0.1450922690772883,5.789387203813006
0.238,prcus-p,1.810464955041856,5.789387203813006
0.238,sbps,-1.3816553019433606,5.789387203813006
0.238,sspls-v,1.211400283021446,5.789387203813006
0.255,ifrms,-1.764530170579754,5.766803950775723
0.255,mcgs,0.2563643348888442,5.766803950775723
0.255,pos,-0.0,5.766803950775723
0.255,prculs-d,-0.0398526766415428,5.766803950775723
0.255,prcus-a,-0.0,5.766803950775723
0.255,prcus-i,-0.1249377648037374,5.766803950775723
0.255,prcus-p,1.794268481108124,5.766803950775723
0.255,sbps,-1.3449143899456604,5.766803950775723
0.255,sspls-v,1.1783229009845186,5.766803950775723
0.272,ifrms,-1.731680354805016,5.752179104177635
0.272,mcgs,0.2307078862643692,5.752179104177635
0.272,pos,-0.0,5.752179104177635
0.272,prculs-d,-0.024290927579718,5.752179104177635
0.272,prcus-a,-0.0,5.752179104177635
0.272,prcus-i,-0.1047832605301861,5.752179104177635
0.272,prcus-p,1.778893346264975,5.752179104177635
0.272,sbps,-1.3081765810396586,5.752179104177635
0.272,sspls-v,1.1452454768648868,5.752179104177635
0.291,ifrms,-1.694965796145014,5.736434186971735
