Sulci,beta
ifrms,-1.8805450614122987
sspls-v,1.264480560242184
mcgs,1.0211060962456884
pos,-0.0
sbps,-1.7948034179770729
prculs-d,0.2135266380903068
prcus-p,1.9759600236891122
prcus-i,-0.3367505737347835
prcus-a,-0.0
ifrms,-1.4034245114691903
sspls-v,2.059492928866918
mcgs,0.25537486305984775
pos,-0.0622504595383271
sbps,-1.6933691668221837
prculs-d,-0.255774303792451
prcus-p,2.189665682557451
prcus-i,-0.08463851585247086
prcus-a,-0.0
ifrms,-2.1972292217054936
sspls-v,1.0509010381382413
mcgs,0.4084485114981237
pos,-0.0791964390480402
sbps,-1.3412582959734423
prculs-d,-0.13549753493897304
prcus-p,1.9508199240398034
prcus-i,-0.12150877025802184
prcus-a,0.0
ifrms,-1.7950423424694064
sspls-v,1.490441032429741
mcgs,0.4532426095343668
pos,0.0
sbps,-1.545079190106108
prculs-d,-0.22571964721072058
prcus-p,2.034125772951467
prcus-i,-0.20628106058673565
prcus-a,-0.0
ifrms,-1.9074202594895056
sspls-v,1.5579427068737006
mcgs,0.7125728502438092
pos,-0.0
sbps,-1.7957064234455395
prculs-d,-0.14995902650942
prcus-p,2.2173549735903464
prcus-i,-0.39441405181076605
prcus-a,0.0
ifrms,-2.202015851906704
sspls-v,1.2490527925127197
mcgs,0.26943432057136185
pos,0.0
sbps,-1.233439993764983
prculs-d,-0.0
prcus-p,1.7871591864112795
prcus-i,-0.19951790738691372
prcus-a,-0.0
ifrms,-2.038949051791694
sspls-v,1.4827151614562881
mcgs,0.5125853224266183
pos,-0.0
sbps,-1.6646958713015962
prculs-d,-0.18340385714874038
prcus-p,1.9496422228786392
prcus-i,-0.278576670659614
prcus-a,0.0
ifrms,-1.965365877908203
sspls-v,1.458705354341852
mcgs,0.5238931397028374
pos,-0.0
sbps,-1.5745273180469357
prculs-d,-0.18993723506637153
prcus-p,1.9402046263324622
prcus-i,-0.2955871277463243
prcus-a,0.0
ifrms,-2.041128369809364
sspls-v,1.461133057926367
mcgs,0.5133534549728292
pos,-0.0
sbps,-1.584663352949259
prculs-d,-0.35829250006714236
prcus-p,1.9081500567797487
prcus-i,-0.4957528681490364
prcus-a,0.11499673993436117
ifrms,-2.1641056113313777
sspls-v,1.5423358747433793
mcgs,0.4305671264914896
pos,-0.0
sbps,-2.035401152959246
prculs-d,-0.5312193048600271
prcus-p,1.6269564206035647
prcus-i,-0.2640661971610313
prcus-a,-0.0
ifrms,-2.2938391073629094
sspls-v,1.605580003042066
mcgs,0.5278333038601902
pos,-0.019686343873444874
sbps,-1.606082497249804
prculs-d,-0.28107649615592273
prcus-p,1.7511756276352246
prcus-i,-0.40430060038270077
prcus-a,0.0
ifrms,-2.1429596975858427
sspls-v,1.5350232096715979
mcgs,0.6245429508236632
pos,0.0
sbps,-1.6914720539698909
prculs-d,-0.15618156228491462
prcus-p,1.9261856512555533
prcus-i,-0.2878119107379735
prcus-a,0.043040390260081496
ifrms,-2.0642467799294995
sspls-v,1.4914492360970593
mcgs,0.5150835475025006
pos,-0.0
sbps,-1.6463119308131469
prculs-d,-0.16946069145999704
prcus-p,1.942114913380163
prcus-i,-0.30049908460558766
prcus-a,0.0
ifrms,-2.0600473835442554
sspls-v,1.451623425283614
mcgs,0.527484222353482
pos,-0.0
sbps,-1.655894731043757
prculs-d,-0.15281311451642948
prcus-p,1.9109455235174317
prcus-i,-0.34673364565996895
prcus-a,0.0
ifrms,-2.060649570303192
sspls-v,1.4337198380951266
mcgs,0.3932678523827574
pos,0.0
sbps,-1.6138495336300944
prculs-d,0.07195928039456781
prcus-p,1.4194255339238808
prcus-i,0.0
prcus-a,0.32157441622224797
ifrms,-2.1419328145363825
sspls-v,1.1974031424009872
mcgs,0.24524557589261106
pos,-0.0
sbps,-1.7052099090153199
prculs-d,-0.18478042511818565
prcus-p,1.9009578086216758
prcus-i,-0.3149066007061894
prcus-a,0.1178529111151922
ifrms,-2.1341460940778756
sspls-v,1.3117759354581155
mcgs,0.3888157280212727
pos,-0.0
sbps,-1.7368242290770493
prculs-d,-0.039970500179524665
prcus-p,1.8849869987470205
prcus-i,-0.38465603700965295
prcus-a,0.0
ifrms,-1.918677607410018
sspls-v,1.4708929509651507
mcgs,0.5885828684952341
pos,-0.2645512129220168
sbps,-1.6620604038515279
prculs-d,-0.12307262419309749
prcus-p,1.895861986225044
prcus-i,-0.46049785791282283
prcus-a,0.0
ifrms,-1.8532551174175047
sspls-v,1.2848001476141897
mcgs,0.4644838653258132
pos,0.0
sbps,-1.5409700273753433
prculs-d,-0.36365468278192065
prcus-p,1.9203057113836768
prcus-i,-0.27992574593187286
prcus-a,0.042284974121423645
ifrms,-2.063216046191772
sspls-v,1.506962964158688
mcgs,0.3138809758433836
pos,-0.039605553861418584
sbps,-1.6241268438986627
prculs-d,-0.21458081475399685
prcus-p,2.0635500001917295
prcus-i,-0.39795570439610006
prcus-a,-0.1101150656689183
ifrms,-2.020430619537495
sspls-v,1.2881271809298902
mcgs,0.5656148457403294
pos,0.0
sbps,-1.6778544469863637
prculs-d,-0.06487425356326226
prcus-p,1.9352445453493539
prcus-i,-0.2954249888075085
prcus-a,-0.0
ifrms,-2.0370949148739146
sspls-v,1.4505457415405287
mcgs,0.46777423650310923
pos,-0.0
sbps,-1.5586538609919234
prculs-d,-0.1418992883720816
prcus-p,1.9332745829103246
prcus-i,-0.3433459846382699
prcus-a,0.0
ifrms,-1.980628525705489
sspls-v,1.43117890571535
mcgs,0.5708986656907988
pos,-0.0
sbps,-1.6760044364705182
prculs-d,-0.4169405701093645
prcus-p,1.6487746087528625
prcus-i,-0.11452327729796641
prcus-a,-0.0
ifrms,-2.0396524254968544
sspls-v,1.282632105029101
mcgs,0.5161327250206106
pos,0.12178001416746695
sbps,-1.7182855625549798
prculs-d,-0.4258256936275885
prcus-p,1.38176226187638
prcus-i,-0.19074526696348393
prcus-a,0.1761250946394124
ifrms,-2.285678897652677
sspls-v,1.696214826785048
mcgs,1.0896200534197518
pos,0.5333940279929341
sbps,-1.2998981617875294
prculs-d,-0.6322789465002167
prcus-p,1.4435987972283697
prcus-i,-0.5529072279367152
prcus-a,-0.0
ifrms,-2.9009182976343486
sspls-v,1.4326151805278347
mcgs,0.1738685902274542
pos,-0.0
sbps,-1.6576926471716356
prculs-d,-0.21205126440705505
prcus-p,1.9600841089855814
prcus-i,-0.9436665211931238
prcus-a,-0.2606194526185597
ifrms,-1.8852562877447492
sspls-v,1.5382573615629027
mcgs,0.6012947499986474
pos,-0.32932333496100524
sbps,-2.143064498494281
prculs-d,0.0
prcus-p,2.3174240670023876
prcus-i,-0.06348702558966154
prcus-a,0.31041642087776145
ifrms,-2.083702436525853
sspls-v,1.7688130987723234
mcgs,0.31719978424683687
pos,-0.0
sbps,-1.4538177574787028
prculs-d,-0.3367441078830135
prcus-p,1.6106132781492035
prcus-i,-0.20908481081113162
prcus-a,0.012867967274866311
ifrms,-1.6665606386326814
sspls-v,1.174614791699564
mcgs,0.7442062953171334
pos,-0.03403138964405042
sbps,-1.4193486491676641
