alpha_level,fold,RMSE,Sulci,beta,Model
0.1,10.0,6.113654105237253,prcus-i,-3.1604342260455525,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,prcus-a,-1.1190267661880087,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,ifrms,-2.8799642108079015,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,sspls-v,0.2471480097049316,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,mcgs,-0.9862729526833015,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,sbps,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,prculs-d,-0.7720704432889707,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,prcus-p,-2.2768610334787733,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,prcus-i,-3.5874339429168245,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,prcus-a,-1.6647905535349043,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,ifrms,-3.1984826485986817,"Lasso(alpha=0.1, max_iter=10000)"
0.1,11.0,6.101068287887519,sspls-v,0.12818816770676503,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,mcgs,-0.7719851161419135,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,pos,0.07270076647203681,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,prculs-d,-1.5227774701626942,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,prcus-p,-1.9074672793520846,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,prcus-i,-2.9208694512293762,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,prcus-a,-1.3092220645947168,"Lasso(alpha=0.1, max_iter=10000)"
