alpha,RMSE
0.14,6.316967561274956
0.14,6.464231554910303
0.14,6.292116379878398
0.14,6.4044137875547555
0.14,6.390498552380094
0.14,5.663964234064872
0.14,6.063381542192821
0.14,6.051829881896347
0.14,6.395903773752912
0.14,5.922341685001531
0.149,6.306885328869647
0.149,5.968575471968656
0.149,6.276248284284541
0.149,6.417580018137381
0.149,5.885791911752396
0.149,5.592600971000336
0.149,6.205442475298463
0.149,6.300382186781335
0.149,5.627658448741284
0.149,5.9778804655237705
0.149,5.8789051667272885
0.149,6.200670271045353
0.149,6.066916027546039
0.149,6.070598324494257
0.149,6.511090284089677
0.149,6.282882469091761
0.149,6.2312573553818185
0.149,5.951074383253009
0.149,6.295295518885172
0.149,6.450082656784402
0.149,6.265001431470821
0.149,6.381292782927681
0.149,6.349429915430925
0.149,5.652070452683871
0.149,6.040924141833502
0.149,6.031398410794188
0.149,6.379218192500509
0.149,5.924264681319534
0.16,6.2838119181240755
0.16,5.941988271346812
0.16,6.253525089949772
0.16,6.392979436560249
0.16,5.897976005196966
0.16,5.5703059541481315
0.16,6.162303049154923
0.16,6.277153951607756
0.16,5.596924719978027
0.16,5.944619464745858
0.16,5.8328009875605975
0.16,6.156342697698765
0.16,6.023067231029213
0.16,6.054448347740409
0.16,6.478217843330314
0.16,6.262054807064674
0.16,6.206731011786924
0.16,5.918992075932814
0.16,6.269581816513381
0.16,6.430993112644821
0.16,6.232293804438758
0.16,6.353761868745967
0.16,6.296980759557239
0.16,5.6384788705326665
0.16,6.013460306917481
0.16,6.0047165686723005
0.16,6.355639594103008
0.16,5.922441549337171
0.171,6.259939969069507
0.171,5.90705227832549
0.171,6.230569522334968
0.171,6.365438952200553
0.171,5.9130822623437895
0.171,5.552639347025086
0.171,6.118726812912753
0.171,6.252928695836665
0.171,5.56650480951526
0.171,5.908368361063034
0.171,5.791734688329516
0.171,6.111622018267908
0.171,5.9756243654771675
0.171,6.035665978681757
0.171,6.451166461630191
0.171,6.238100232828504
0.171,6.17775155445876
0.171,5.886906637790229
0.171,6.24461761577883
0.171,6.410564866605199
0.171,6.210779607799437
0.171,6.324924317304988
0.171,6.2433773214058
0.171,5.6248758459422055
0.171,5.98109145586018
0.171,5.976341022002127
0.171,6.328964684206809
0.171,5.91726329729663
0.182,6.249997097175821
0.182,5.869355476281748
0.182,6.20312998522921
0.182,6.32867574378452
0.182,5.930676160401254
0.182,5.535973236417605
0.182,6.081686444349488
0.182,6.229091982999018
0.182,5.536132596011214
0.182,5.873127414892654
0.182,5.754236870678248
0.182,6.066628737543675
0.182,5.9313350916409044
0.182,6.018245542493169
0.182,6.4302330155405105
0.182,6.214805966178393
0.182,6.146850875598226
0.182,5.852980223345422
0.182,6.218505092461693
0.182,6.386550479507759
0.182,6.189325242800391
0.182,6.2929320551958545
0.182,6.195653363180575
0.182,5.611242863684513
0.182,5.950630044518094
0.182,5.956515074475816
0.182,6.298261785601778
0.182,5.908981807410632
0.195,6.234005611872243
0.195,5.833107001994933
0.195,6.190407105783273
0.195,6.2824274505001085
0.195,5.949578202354457
0.195,5.517347494668071
0.195,6.048995122768485
0.195,6.201126479418264
0.195,5.511778598288648
0.195,5.83073449091255
0.195,5.715588520553575
0.195,6.01763644215748
0.195,5.881864878388789
0.195,6.002769827347904
0.195,6.39551932210846
0.195,6.187338026929627
0.195,6.113581524570794
0.195,5.808751879783002
0.195,6.174333106232756
0.195,6.361010540984953
0.195,6.161974561799146
0.195,6.261212253652201
0.195,6.13503202915407
0.195,5.594654215979667
0.195,5.917085759159037
