alpha,RMSE
0.182,5.5605864872043655
0.182,5.685512862911883
0.182,5.857505158170178
0.182,5.925689572589273
0.182,5.794210369145413
0.182,5.725288852682046
0.182,5.962431728014635
0.182,5.536444812753266
0.182,5.579957901417991
0.182,5.741036508319092
0.182,5.432494046197442
0.182,5.683693977523482
0.182,5.8423333271489755
0.182,5.805894639477456
0.182,5.542998040993056
0.182,5.774461312244419
0.182,5.934270800888885
0.182,5.9709351327792595
0.182,5.87678126893766
0.182,5.673036641811188
0.182,5.9573535162524065
0.182,5.919279243786289
0.182,5.9531160753320576
0.182,5.950249387274474
0.182,5.738953807438361
0.182,5.876850931147006
0.182,5.670258998049045
0.182,5.825337783377206
0.182,5.966709430730706
0.182,5.844260811883168
0.195,5.864549689726496
0.195,5.89808264862212
0.195,5.800105309719997
0.195,5.876986512783085
0.195,5.816289341128493
0.195,5.549316604111487
0.195,5.68747083704003
0.195,5.844348267500762
0.195,5.9180732275454835
0.195,5.783025108773056
0.195,5.713452787423142
0.195,5.952601788978505
0.195,5.517961630502636
0.195,5.561575673409823
0.195,5.713652228824616
0.195,5.420164011652962
0.195,5.665608002758354
0.195,5.82492068029073
0.195,5.793474731910358
0.195,5.535827154625467
0.195,5.758662914899567
0.195,5.922023751408863
0.195,5.961599365070108
0.195,5.872885688976706
0.195,5.6653556952018125
0.195,5.9560972354004305
0.195,5.910332091074259
0.195,5.939822481026755
0.195,5.942814195280167
0.195,5.726943286997404
0.195,5.861352036599122
0.195,5.659091255764153
0.195,5.823606695515203
0.195,5.956772756728697
0.195,5.8309726778787665
0.208,5.848187319998755
0.208,5.887600403318926
0.208,5.788685368859911
0.208,5.8652423224774
0.208,5.811469063798711
0.208,5.537602712046306
0.208,5.68803562571978
0.208,5.829259498003179
0.208,5.910354487142486
0.208,5.772095224645684
0.208,5.701967153014694
0.208,5.9437232507885005
0.208,5.502248707601284
0.208,5.5407993394208175
0.208,5.6879808692839635
0.208,5.409829715991793
0.208,5.648477183398762
0.208,5.8089831459082095
0.208,5.781634707383407
0.208,5.527966465240973
0.208,5.741369924583044
0.208,5.909482336385993
0.208,5.9518407500304
0.208,5.869017002384403
0.208,5.656870829788192
0.208,5.955394533381327
0.208,5.902416036461957
0.208,5.928456328211958
0.208,5.936133950127673
0.208,5.714577286946389
0.208,5.844414643977952
0.208,5.646128901351786
0.208,5.821900048770164
0.208,5.94807686372055
0.208,5.8178286484091295
0.223,5.832566158618363
0.223,5.878033002138922
0.223,5.77549121353942
0.223,5.854528235637047
0.223,5.803699637561876
0.223,5.523059893925607
0.223,5.687174373661107
0.223,5.808635111394062
0.223,5.902411560846842
0.223,5.760551987077424
0.223,5.686255028716007
0.223,5.936481179322235
0.223,5.484485646119092
0.223,5.520793534181649
0.223,5.662044854285094
0.223,5.396618188947731
0.223,5.631972951412042
0.223,5.789486489294439
0.223,5.769295674391383
0.223,5.521093137478028
0.223,5.7205157300969685
0.223,5.894984520991698
0.223,5.941287994554049
0.223,5.865051088753359
0.223,5.647873287119534
0.223,5.952333243906719
0.223,5.894210463003919
0.223,5.916471421437553
0.223,5.927713106799152
0.223,5.702119421332667
0.223,5.826998133313496
0.223,5.631499920244199
0.223,5.81926873507273
0.223,5.940676968173397
0.223,5.80445270570177
0.238,5.819673941985104
0.238,5.86621778633874
0.238,5.764729046983753
0.238,5.842101842609365
0.238,5.795873826068826
0.238,5.508385868751452
0.238,5.686452737124424
0.238,5.789387203813006
0.238,5.89768166153643
0.238,5.751093910246921
0.238,5.678076048460868
0.238,5.93099448987364
0.238,5.467272980259774
0.238,5.505241246794377
0.238,5.635482588654976
0.238,5.382894763636368
0.238,5.616988444541373
0.238,5.7690372270948345
0.238,5.75664085139343
0.238,5.515633913449753
0.238,5.701198423444218
0.238,5.882842349640153
0.238,5.932536733083128
0.238,5.861481004517837
0.238,5.640139468675533
0.238,5.950072923659367
0.238,5.8869028882856105
0.238,5.904456643356199
0.238,5.9195329828218135
0.238,5.687867682834383
0.238,5.810272725170148
0.238,5.6208069632448066
0.238,5.818302468782022
0.238,5.93449108773303
0.238,5.792889939633875
0.255,5.806456518918952
0.255,5.850301957407397
0.255,5.754043719850773
0.255,5.825022727466474
0.255,5.783479265662972
0.255,5.491125066697833
0.255,5.684276259457568
0.255,5.766803950775723
0.255,5.893870862663616
0.255,5.741271881290506
0.255,5.669846741574411
0.255,5.924628949918766
0.255,5.448262425749978
0.255,5.48716795850107
0.255,5.606538934355166
0.255,5.367399876639832
0.255,5.599932002928115
0.255,5.7485950534492085
0.255,5.742812839531396
0.255,5.510854573288107
0.255,5.679037136873414
0.255,5.869702111224008
0.255,5.92720217013883
0.255,5.85710348276284
0.255,5.630714344107847
0.255,5.9496540083878715
0.255,5.880756947993259
0.255,5.892731030093511
0.255,5.911041727719433
0.255,5.6711626785273745
0.255,5.791547125261396
0.255,5.6078451884165545
0.255,5.820424263014134
0.255,5.923541979821446
0.255,5.7803898345432305
0.272,5.795851760076764
0.272,5.833082452571068
0.272,5.745209896866145
0.272,5.809448931842506
0.272,5.768589311050213
0.272,5.4745103983398185
0.272,5.679655357689076
0.272,5.752179104177635
0.272,5.890258175233552
0.272,5.73162133486196
0.272,5.663844365626418
0.272,5.919984140401444
