,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),lgi_mean,lgi_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct
0,38,rh,mFUS,655.0,453.0,1133.0,2.932,0.026,0.117,0.023,5.0,0.6,1.9218604564666748,8.627114295959473,0.11085624247789383
0,39,lh,mFUS,244.0,167.0,509.0,2.569,0.021,0.157,0.045,5.0,0.4,-0.6804600358009338,5.057685852050781,-0.038667935878038406
0,39,rh,mFUS,230.0,166.0,562.0,2.488,0.05,0.15,0.041,4.0,0.3,-0.9924437403678894,4.09494686126709,-0.05868654325604439
0,39,rh,pFUS,153.0,105.0,281.0,2.421,0.032,0.096,0.02,1.0,0.1,-1.4503897428512573,2.5099220275878906,-0.08576643466949463
0,40,lh,mFUS,353.0,265.0,873.0,2.628,0.023,0.129,0.023,4.0,0.3,-0.9415411353111267,2.6195623874664307,-0.05949757248163223
0,40,lh,pFUS,153.0,102.0,192.0,2.44,0.077,0.113,0.028,1.0,0.1,4.907501220703125,7.946053981781006,0.3101133108139038
0,40,rh,mFUS,282.0,190.0,676.0,2.51,0.022,0.109,0.016,2.0,0.2,-0.7170276045799255,3.919135332107544,-0.04140396788716316
0,40,rh,pFUS,320.0,227.0,730.0,2.435,0.042,0.1,0.02,3.0,0.3,-2.951714038848877,3.45885968208313,-0.17044349014759064
0,41,lh,mFUS,340.0,222.0,827.0,2.662,0.069,0.171,0.04,7.0,0.6,0.5734577775001526,6.288321018218994,0.03404063731431961
0,41,lh,pFUS,129.0,90.0,273.0,2.662,0.023,0.114,0.033,1.0,0.1,-1.5565398931503296,2.228581190109253,-0.09239669889211655
0,41,rh,mFUS,302.0,222.0,684.0,2.652,0.031,0.144,0.04,4.0,0.6,1.6253526210784912,6.684037685394287,0.09062778204679489
0,41,rh,pFUS,215.0,161.0,622.0,2.681,0.039,0.174,0.039,6.0,0.4,-4.196110248565674,1.7491657733917236,-0.2339702844619751
0,42,lh,mFUS,115.0,80.0,260.0,2.88,0.013,0.145,0.03,1.0,0.2,-1.3151124715805054,0.42386579513549805,-0.07623590528964996
0,42,rh,mFUS,651.0,434.0,1306.0,2.862,0.1,0.139,0.03,9.0,0.8,0.8891540765762329,10.475202560424805,0.05385153740644455
0,42,rh,pFUS,41.0,32.0,129.0,2.843,0.036,0.042,0.021,0.0,0.0,-5.434021949768066,-2.798292398452759,-0.3291109502315521
0,43,lh,mFUS,75.0,54.0,184.0,2.797,0.042,0.083,0.018,1.0,0.0,1.5679724216461182,8.05612850189209,0.09409251809120178
0,43,lh,pFUS,436.0,311.0,1054.0,2.991,0.042,0.121,0.033,9.0,0.5,-4.782557964324951,3.0052473545074463,-0.2869966924190521
0,43,rh,mFUS,180.0,123.0,362.0,2.738,0.068,0.108,0.018,1.0,0.2,1.7081960439682007,6.560276985168457,0.09801653027534485
0,43,rh,pFUS,450.0,289.0,992.0,2.775,0.055,0.114,0.023,6.0,0.4,-4.656848907470703,1.379228949546814,-0.26721060276031494
0,44,lh,mFUS,155.0,104.0,401.0,2.662,0.062,0.161,0.037,4.0,0.1,-2.913808584213257,1.3050177097320557,-0.17019310593605042
0,44,rh,mFUS,556.0,388.0,1088.0,2.769,0.043,0.157,0.036,11.0,0.8,-0.471791535615921,7.235331058502197,-0.027304988354444504
0,45,lh,mFUS,543.0,403.0,1178.0,2.622,0.044,0.145,0.021,7.0,0.5,0.754581093788147,4.973076343536377,0.04669622331857681
0,45,rh,mFUS,494.0,353.0,1061.0,2.471,0.057,0.138,0.023,7.0,0.5,1.4003490209579468,7.342004299163818,0.08397132903337479
0,46,lh,mFUS,166.0,113.0,381.0,2.693,0.02,0.169,0.033,3.0,0.2,-0.013982611708343029,3.112042188644409,-0.0008479916723445058
0,46,lh,pFUS,170.0,119.0,382.0,2.735,0.015,0.116,0.019,1.0,0.2,-1.8742666244506836,0.6897332668304443,-0.11366688460111618
0,46,rh,mFUS,238.0,166.0,481.0,2.561,0.019,0.137,0.032,2.0,0.3,1.6009423732757568,5.626538276672363,0.09294427931308746
0,46,rh,pFUS,308.0,214.0,596.0,2.527,0.026,0.16,0.034,5.0,0.4,1.1829257011413574,8.935909271240234,0.06867590546607971
0,47,lh,mFUS,242.0,169.0,584.0,2.636,0.056,0.205,0.062,9.0,0.5,-3.4696640968322754,0.8930454850196838,-0.20481346547603607
0,47,lh,pFUS,290.0,204.0,659.0,2.686,0.029,0.145,0.032,4.0,0.4,-1.131022334098816,4.14468240737915,-0.0667639821767807
0,47,rh,mFUS,996.0,695.0,2107.0,2.72,0.048,0.128,0.024,13.0,1.0,-0.7683444023132324,5.6109538078308105,-0.04354587197303772
