,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_depth,sulcal_pit,gyral_crown,mean_pct_max_depth
0,44,lh,cortex,136774.0,91864.0,254082.0,2.48,0.631,0.125,0.027,1718.0,147.0,-0.006651412229984999,17.120601654052734,-13.924446105957031,-0.000388502812711522
0,44,lh,PPA,1111.0,749.0,1805.0,2.446,0.411,0.103,0.017,8.0,0.8,5.601866722106934,11.60925579071045,-5.02712869644165,0.32720035314559937
0,44,rh,G_oc-temp_lat-fusifor,2243.0,1433.0,4662.0,2.651,0.529,0.15,0.036,46.0,3.2,-1.8626290559768677,5.447022914886475,-8.082831382751465,-0.10779986530542374
0,44,rh,cortex,138498.0,92543.0,251753.0,2.437,0.619,0.124,0.027,1729.0,147.9,-0.019293783232569695,17.278583526611328,-14.49691104888916,-0.001116630737669766
0,44,rh,PPA,1184.0,791.0,1941.0,2.683,0.53,0.122,0.027,12.0,1.4,4.419106483459473,11.62769889831543,-6.253577709197998,0.25575628876686096
0,45,lh,G_oc-temp_lat-fusifor,1461.0,984.0,3124.0,2.672,0.392,0.15,0.034,28.0,1.8,0.01096597220748663,6.23391056060791,-5.057934284210205,0.0006786136655136943
0,45,lh,cortex,117511.0,78919.0,216181.0,2.489,0.637,0.13,0.028,1512.0,131.7,-0.01739441603422165,16.159360885620117,-15.177512168884277,-0.001076430082321167
0,45,lh,PPA,1013.0,739.0,1626.0,2.361,0.472,0.125,0.021,11.0,0.9,4.906618595123291,10.389222145080566,-4.3735737800598145,0.30363941192626953
0,45,rh,G_oc-temp_lat-fusifor,1818.0,1166.0,4135.0,2.866,0.529,0.147,0.032,35.0,2.3,-0.6259130835533142,4.11307430267334,-5.460648059844971,-0.037532608956098557
0,45,rh,cortex,115737.0,77935.0,215917.0,2.524,0.633,0.13,0.028,1471.0,130.3,-0.006417377386242151,16.676513671875,-13.925930976867676,-0.0003848154447041452
0,45,rh,PPA,965.0,674.0,1718.0,2.562,0.571,0.106,0.019,8.0,0.7,4.207860469818115,10.057716369628906,-4.370534896850586,0.25232255458831787
0,46,lh,G_oc-temp_lat-fusifor,1445.0,982.0,3504.0,2.759,0.494,0.149,0.03,28.0,1.9,-1.4255597591400146,4.529999256134033,-5.95355224609375,-0.08645457774400711
0,46,lh,cortex,104694.0,71343.0,191806.0,2.405,0.628,0.132,0.028,1406.0,117.0,-0.002987333107739687,16.489118576049805,-14.454910278320312,-0.00018117112631443888
0,46,lh,PPA,770.0,566.0,1169.0,2.29,0.417,0.103,0.013,4.0,0.4,5.86773681640625,10.37720775604248,-3.7199156284332275,0.3558551073074341
0,46,rh,G_oc-temp_lat-fusifor,1471.0,1005.0,3416.0,2.648,0.547,0.16,0.039,32.0,2.5,-0.5028026700019836,8.084150314331055,-5.241573810577393,-0.029190700501203537
0,46,rh,cortex,105608.0,71987.0,192952.0,2.414,0.614,0.133,0.028,1429.0,121.1,-0.008271431550383568,17.224756240844727,-14.34312915802002,-0.00048020511167123914
0,46,rh,PPA,715.0,479.0,1094.0,2.236,0.572,0.112,0.019,6.0,0.6,4.439553737640381,9.561525344848633,-3.6263020038604736,0.25774264335632324
0,47,lh,G_oc-temp_lat-fusifor,1818.0,1212.0,3888.0,2.623,0.449,0.154,0.038,39.0,2.7,-1.0672909021377563,5.39378547668457,-6.722390651702881,-0.06300193071365356
0,47,lh,cortex,124033.0,82585.0,222088.0,2.418,0.603,0.128,0.028,1549.0,138.2,-0.009359203279018402,16.94060516357422,-12.787239074707031,-0.0005524726584553719
0,47,lh,PPA,847.0,588.0,1434.0,2.489,0.354,0.126,0.023,9.0,0.8,4.527368545532227,10.378257751464844,-6.376336574554443,0.26724952459335327
0,47,rh,G_oc-temp_lat-fusifor,1882.0,1252.0,4161.0,2.603,0.434,0.145,0.033,35.0,2.5,-1.6467006206512451,5.159809112548828,-7.285355567932129,-0.09332666546106339
0,47,rh,cortex,124088.0,83093.0,224222.0,2.44,0.609,0.128,0.028,1526.0,141.3,-0.03257119283080101,17.644481658935547,-14.439229965209961,-0.0018459688872098923
0,47,rh,PPA,1022.0,712.0,1608.0,2.342,0.425,0.118,0.025,10.0,1.0,3.6007847785949707,10.714804649353027,-4.576034069061279,0.20407426357269287
