,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_ct_ratio,max_face_ct_ratio,mean_pct_max_face_ct_ratio
0,34,rh,mFUS,424.0,319.0,1041.0,2.61,0.508,0.141,0.033,6.0,0.5,0.45314517617225647,0.8654728531837463,0.1638714075088501
0,34,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,35,lh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,35,lh,pFUS,436.0,303.0,857.0,2.502,0.442,0.148,0.025,8.0,0.4,0.4707346260547638,0.8827698230743408,0.17432233691215515
0,35,rh,mFUS,102.0,72.0,147.0,2.284,0.207,0.136,0.014,2.0,0.1,0.2658211886882782,0.3788730204105377,0.03627108410000801
0,35,rh,pFUS,81.0,59.0,176.0,3.072,0.303,0.176,0.06,3.0,0.1,0.19843114912509918,0.27819356322288513,0.027075763791799545
0,36,lh,mFUS,297.0,218.0,493.0,2.619,0.415,0.129,0.019,2.0,0.2,0.49039456248283386,0.8982052206993103,0.07820139825344086
0,36,lh,pFUS,209.0,152.0,413.0,2.853,0.527,0.139,0.029,2.0,0.2,0.5192749500274658,0.8271594643592834,0.08280684053897858
0,36,rh,mFUS,377.0,275.0,808.0,2.881,0.526,0.148,0.03,5.0,0.4,0.6692299842834473,1.1026705503463745,0.20354996621608734
0,36,rh,pFUS,458.0,312.0,1195.0,2.892,0.744,0.154,0.033,8.0,0.6,0.7954017519950867,2.073152780532837,0.24192582070827484
0,37,lh,mFUS,13.0,11.0,36.0,2.477,0.263,0.045,0.012,0.0,0.0,0.19553828239440918,0.23631516098976135,0.06029047444462776
0,37,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,37,rh,mFUS,25.0,23.0,67.0,2.653,0.171,0.056,0.01,0.0,0.0,0.2123631238937378,0.2977505624294281,0.06754610687494278
0,37,rh,pFUS,3.0,3.0,3.0,2.403,0.057,0.295,0.045,0.0,0.0,0.17584900557994843,0.18447384238243103,0.05593210458755493
0,38,lh,mFUS,165.0,120.0,508.0,2.832,0.52,0.182,0.078,7.0,0.3,0.23901903629302979,0.336448609828949,0.13643331825733185
0,38,lh,pFUS,144.0,111.0,287.0,2.389,0.326,0.079,0.01,0.0,0.1,0.393576055765152,0.7394695281982422,0.22465528547763824
0,38,rh,mFUS,655.0,453.0,1133.0,2.538,0.341,0.117,0.023,5.0,0.6,0.599816083908081,1.4358919858932495,0.3084944486618042
0,38,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,39,lh,mFUS,244.0,167.0,509.0,2.505,0.407,0.157,0.045,5.0,0.4,0.4333249628543854,0.868781566619873,0.06543268263339996
0,39,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,39,rh,mFUS,230.0,166.0,562.0,2.844,0.417,0.15,0.041,4.0,0.3,0.5088766813278198,0.8898833990097046,0.152263805270195
0,39,rh,pFUS,153.0,105.0,281.0,2.476,0.49,0.096,0.02,1.0,0.1,0.583512544631958,1.0990328788757324,0.17459605634212494
0,40,lh,mFUS,353.0,265.0,873.0,2.899,0.449,0.129,0.023,4.0,0.3,0.47780275344848633,1.171454668045044,0.14552292227745056
0,40,lh,pFUS,153.0,102.0,192.0,2.345,0.29,0.113,0.028,1.0,0.1,0.43327441811561584,0.7136582732200623,0.13196107745170593
0,40,rh,mFUS,282.0,190.0,676.0,3.082,0.493,0.109,0.016,2.0,0.2,0.33244574069976807,0.5167363286018372,0.23606407642364502
0,40,rh,pFUS,320.0,227.0,730.0,2.553,0.47,0.1,0.02,3.0,0.3,0.4685173034667969,1.0894670486450195,0.332686185836792
0,41,lh,mFUS,340.0,222.0,827.0,3.183,0.555,0.171,0.04,7.0,0.6,0.34080925583839417,0.637921929359436,0.08720113337039948
0,41,lh,pFUS,129.0,90.0,273.0,2.577,0.397,0.114,0.033,1.0,0.1,0.39808815717697144,0.8229973316192627,0.1018567904829979
0,41,rh,mFUS,302.0,222.0,684.0,2.955,0.421,0.144,0.04,4.0,0.6,0.4602334797382355,1.0823065042495728,0.17275802791118622
0,41,rh,pFUS,215.0,161.0,622.0,2.726,0.357,0.174,0.039,6.0,0.4,0.43129661679267883,0.6287690997123718,0.1618960052728653
0,42,lh,mFUS,115.0,80.0,260.0,3.977,0.379,0.145,0.03,1.0,0.2,0.1894702911376953,0.2772919237613678,0.06373843550682068
0,42,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,42,rh,mFUS,651.0,434.0,1306.0,3.052,0.491,0.139,0.03,9.0,0.8,0.5490893125534058,0.9586916565895081,0.16265350580215454
0,42,rh,pFUS,41.0,32.0,129.0,2.851,0.63,0.042,0.021,0.0,0.0,0.3654734790325165,0.49609512090682983,0.1082620769739151
0,43,lh,mFUS,75.0,54.0,184.0,2.756,0.397,0.083,0.018,1.0,0.0,0.36034736037254333,0.4523092210292816,0.0007837686571292579
0,43,lh,pFUS,436.0,311.0,1054.0,2.554,0.552,0.121,0.033,9.0,0.5,0.5803514122962952,1.3097504377365112,0.0012622855138033628
0,43,rh,mFUS,180.0,123.0,362.0,2.758,0.649,0.108,0.018,1.0,0.2,0.39287495613098145,0.7921730875968933,0.09928467124700546
0,43,rh,pFUS,450.0,289.0,992.0,2.71,0.598,0.114,0.023,6.0,0.4,0.5673611164093018,1.5237455368041992,0.14337962865829468
