,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_activation,max_face_activation,mean_pct_max_face_activation
0,24,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,25,lh,mFUS,41.0,28.0,99.0,2.554,0.323,0.224,0.034,2.0,0.1,0.6849963068962097,0.775098443031311,0.17096495628356934
0,25,lh,pFUS,326.0,225.0,601.0,2.661,0.645,0.147,0.021,4.0,0.3,1.0647780895233154,1.5712884664535522,0.2657528817653656
0,25,rh,mFUS,137.0,103.0,364.0,2.632,0.367,0.142,0.022,3.0,0.1,0.8766598105430603,1.2436375617980957,0.13107244670391083
0,25,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,26,lh,mFUS,422.0,291.0,910.0,2.884,0.626,0.144,0.026,6.0,0.4,1.226433515548706,2.056309223175049,0.16862532496452332
0,26,lh,pFUS,161.0,92.0,447.0,3.204,0.442,0.144,0.024,2.0,0.2,1.1848469972610474,2.0728132724761963,0.16290754079818726
0,26,rh,mFUS,371.0,246.0,839.0,2.786,0.496,0.125,0.021,6.0,0.3,1.1668777465820312,1.7539951801300049,0.14985790848731995
0,26,rh,pFUS,356.0,249.0,639.0,2.243,0.437,0.119,0.016,5.0,0.2,1.2154204845428467,1.7069984674453735,0.1560920774936676
0,27,lh,mFUS,1.0,1.0,3.0,2.544,0.0,0.094,0.022,0.0,0.0,0.18633587658405304,0.18633587658405304,0.01856490969657898
0,27,lh,pFUS,729.0,512.0,970.0,2.111,0.384,0.11,0.018,5.0,0.6,1.203733205795288,2.1564321517944336,0.11992964148521423
0,27,rh,mFUS,131.0,88.0,243.0,2.068,0.44,0.188,0.034,6.0,0.2,0.8400909304618835,1.971163034439087,0.1290847808122635
0,27,rh,pFUS,93.0,56.0,91.0,1.695,0.26,0.143,0.026,2.0,0.1,0.4684801399707794,0.50297611951828,0.07198464125394821
0,28,lh,mFUS,358.0,256.0,871.0,2.859,0.534,0.177,0.053,9.0,0.8,0.6255501508712769,1.0191142559051514,0.14012672007083893
0,28,lh,pFUS,354.0,254.0,691.0,3.003,0.447,0.114,0.016,2.0,0.2,0.7932873964309692,1.0819580554962158,0.17770080268383026
0,28,rh,mFUS,192.0,135.0,406.0,3.056,0.692,0.15,0.026,4.0,0.2,1.0610227584838867,1.70772123336792,0.19760532677173615
0,28,rh,pFUS,160.0,117.0,325.0,2.746,0.59,0.137,0.021,2.0,0.1,1.1309770345687866,1.7210228443145752,0.21063366532325745
0,29,lh,mFUS,172.0,132.0,432.0,2.839,0.688,0.11,0.019,1.0,0.1,0.9813239574432373,1.38535737991333,0.19219611585140228
0,29,lh,pFUS,148.0,99.0,278.0,2.581,0.626,0.104,0.018,1.0,0.1,1.088702917098999,2.2217445373535156,0.21322673559188843
0,29,rh,mFUS,54.0,39.0,123.0,3.617,0.622,0.188,0.038,1.0,0.1,1.0866475105285645,1.6378698348999023,0.138449028134346
0,29,rh,pFUS,311.0,218.0,601.0,2.651,0.4,0.123,0.024,5.0,0.3,1.254634141921997,1.9389950037002563,0.15985208749771118
0,30,lh,mFUS,143.0,96.0,289.0,2.849,0.518,0.149,0.026,2.0,0.1,0.9428165555000305,1.14687180519104,0.1499619334936142
0,30,lh,pFUS,275.0,180.0,387.0,2.648,0.402,0.115,0.022,2.0,0.2,1.7986204624176025,3.2242648601531982,0.286083847284317
0,30,rh,mFUS,46.0,31.0,151.0,3.2,0.59,0.16,0.029,1.0,0.0,0.9695681929588318,1.849183201789856,0.13049137592315674
0,30,rh,pFUS,76.0,64.0,231.0,3.045,0.409,0.093,0.014,0.0,0.0,0.52294921875,0.7264747619628906,0.07038221508264542
0,31,lh,mFUS,198.0,135.0,349.0,2.715,0.442,0.117,0.03,1.0,0.3,1.0029486417770386,1.512068510055542,0.20502020418643951
0,31,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,31,rh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,31,rh,pFUS,299.0,190.0,785.0,3.056,0.842,0.141,0.034,5.0,0.4,0.7308029532432556,0.9773005247116089,0.11414425075054169
0,32,lh,mFUS,161.0,128.0,371.0,2.125,0.775,0.187,0.05,6.0,0.6,1.1626487970352173,2.0999794006347656,0.12904025614261627
0,32,lh,pFUS,224.0,177.0,560.0,2.452,0.292,0.11,0.015,2.0,0.1,1.2783631086349487,2.0622971057891846,0.14188317954540253
0,32,rh,mFUS,361.0,257.0,785.0,2.805,0.564,0.154,0.038,7.0,0.5,1.4097779989242554,2.2145016193389893,0.24953292310237885
0,32,rh,pFUS,320.0,227.0,751.0,2.821,0.512,0.132,0.033,3.0,0.4,1.3670449256896973,2.2308804988861084,0.24196910858154297
0,33,lh,mFUS,242.0,171.0,685.0,3.178,0.485,0.083,0.012,1.0,0.1,0.9346902966499329,1.2809476852416992,0.2420751303434372
0,33,lh,pFUS,47.0,25.0,94.0,2.594,0.302,0.193,0.039,2.0,0.1,0.6886552572250366,0.7629750967025757,0.17835459113121033
0,33,rh,mFUS,220.0,157.0,397.0,2.849,0.49,0.115,0.022,1.0,0.2,0.9743713140487671,1.45283842086792,0.21658675372600555
0,33,rh,pFUS,116.0,78.0,321.0,3.252,0.337,0.117,0.02,1.0,0.1,0.9651519656181335,1.1792314052581787,0.21453747153282166
0,34,lh,mFUS,347.0,255.0,460.0,2.131,0.377,0.105,0.011,2.0,0.2,1.0213782787322998,1.8623052835464478,0.20587320625782013
0,34,lh,pFUS,194.0,142.0,621.0,2.846,0.517,0.151,0.026,3.0,0.2,0.7138945460319519,1.4543037414550781,0.14389550685882568
0,34,rh,mFUS,424.0,319.0,1041.0,2.61,0.508,0.141,0.033,6.0,0.5,1.1448564529418945,2.027034282684326,0.2419096976518631
0,34,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,35,lh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,35,lh,pFUS,436.0,303.0,857.0,2.502,0.442,0.148,0.025,8.0,0.4,1.1792093515396118,2.0679593086242676,0.22190773487091064
0,35,rh,mFUS,102.0,72.0,147.0,2.284,0.207,0.136,0.014,2.0,0.1,0.599585235118866,0.8357635736465454,0.051233578473329544
0,35,rh,pFUS,81.0,59.0,176.0,3.072,0.303,0.176,0.06,3.0,0.1,0.6027328372001648,0.7698635458946228,0.0515025295317173
0,36,lh,mFUS,297.0,218.0,493.0,2.619,0.415,0.129,0.019,2.0,0.2,1.2546135187149048,2.0519065856933594,0.19471140205860138
0,36,lh,pFUS,209.0,152.0,413.0,2.853,0.527,0.139,0.029,2.0,0.2,1.4593350887298584,2.3535282611846924,0.22648343443870544
0,36,rh,mFUS,377.0,275.0,808.0,2.881,0.526,0.148,0.03,5.0,0.4,1.917493224143982,3.21577525138855,0.28306469321250916
0,36,rh,pFUS,458.0,312.0,1195.0,2.892,0.744,0.154,0.033,8.0,0.6,2.2191967964172363,4.346262454986572,0.3276028037071228
0,37,lh,mFUS,13.0,11.0,36.0,2.477,0.263,0.045,0.012,0.0,0.0,0.4796731770038605,0.5344535112380981,0.05874510481953621
0,37,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,37,rh,mFUS,25.0,23.0,67.0,2.653,0.171,0.056,0.01,0.0,0.0,0.559810996055603,0.7374239563941956,0.10643867403268814
0,37,rh,pFUS,3.0,3.0,3.0,2.403,0.057,0.295,0.045,0.0,0.0,0.4223111569881439,0.43067121505737305,0.08029539883136749
0,38,lh,mFUS,165.0,120.0,508.0,2.832,0.52,0.182,0.078,7.0,0.3,0.6628095507621765,0.9007843136787415,0.12891815602779388
0,38,lh,pFUS,144.0,111.0,287.0,2.389,0.326,0.079,0.01,0.0,0.1,0.9299784898757935,1.6438400745391846,0.1808832287788391
0,38,rh,mFUS,655.0,453.0,1133.0,2.538,0.341,0.117,0.023,5.0,0.6,1.4902604818344116,3.2129878997802734,0.38599714636802673
0,38,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,39,lh,mFUS,244.0,167.0,509.0,2.505,0.407,0.157,0.045,5.0,0.4,1.0482789278030396,1.4916459321975708,0.09999074786901474
0,39,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,39,rh,mFUS,230.0,166.0,562.0,2.844,0.417,0.15,0.041,4.0,0.3,1.411286473274231,2.1553351879119873,0.23219464719295502
0,39,rh,pFUS,153.0,105.0,281.0,2.476,0.49,0.096,0.02,1.0,0.1,1.3805384635925293,1.8401548862457275,0.2271357774734497
0,40,lh,mFUS,353.0,265.0,873.0,2.899,0.449,0.129,0.023,4.0,0.3,1.3684496879577637,2.6291589736938477,0.22963330149650574
0,40,lh,pFUS,153.0,102.0,192.0,2.345,0.29,0.113,0.028,1.0,0.1,1.001321792602539,1.3148976564407349,0.16802726686000824
0,40,rh,mFUS,282.0,190.0,676.0,3.082,0.493,0.109,0.016,2.0,0.2,0.9964154958724976,1.456152319908142,0.35125482082366943
0,40,rh,pFUS,320.0,227.0,730.0,2.553,0.47,0.1,0.02,3.0,0.3,1.1597949266433716,1.623255729675293,0.40884914994239807
0,41,lh,mFUS,340.0,222.0,827.0,3.183,0.555,0.171,0.04,7.0,0.6,1.0691983699798584,1.9691026210784912,0.17485597729682922
0,41,lh,pFUS,129.0,90.0,273.0,2.577,0.397,0.114,0.033,1.0,0.1,0.9858449101448059,1.6470839977264404,0.16122442483901978
0,41,rh,mFUS,302.0,222.0,684.0,2.955,0.421,0.144,0.04,4.0,0.6,1.3295866250991821,2.1875619888305664,0.2950436472892761
0,41,rh,pFUS,215.0,161.0,622.0,2.726,0.357,0.174,0.039,6.0,0.4,1.1698410511016846,1.7060266733169556,0.25959512591362
0,42,lh,mFUS,115.0,80.0,260.0,3.977,0.379,0.145,0.03,1.0,0.2,0.7546258568763733,1.1389706134796143,0.10743018239736557
0,42,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,42,rh,mFUS,651.0,434.0,1306.0,3.052,0.491,0.139,0.03,9.0,0.8,1.6795059442520142,3.0678863525390625,0.37788379192352295
0,42,rh,pFUS,41.0,32.0,129.0,2.851,0.63,0.042,0.021,0.0,0.0,0.9936259984970093,1.1599926948547363,0.22356286644935608
0,43,lh,mFUS,75.0,54.0,184.0,2.756,0.397,0.083,0.018,1.0,0.0,0.9796744585037231,1.3473867177963257,0.14771394431591034
0,43,lh,pFUS,436.0,311.0,1054.0,2.554,0.552,0.121,0.033,9.0,0.5,1.4180837869644165,2.988083839416504,0.21381671726703644
0,43,rh,mFUS,180.0,123.0,362.0,2.758,0.649,0.108,0.018,1.0,0.2,1.0112779140472412,1.666744589805603,0.13213969767093658
0,43,rh,pFUS,450.0,289.0,992.0,2.71,0.598,0.114,0.023,6.0,0.4,1.4604332447052002,2.441262722015381,0.1908290535211563
0,44,lh,mFUS,155.0,104.0,401.0,2.886,0.34,0.161,0.037,4.0,0.1,0.9285006523132324,1.5043553113937378,0.21031849086284637
0,44,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,44,rh,mFUS,556.0,388.0,1088.0,2.589,0.446,0.157,0.036,11.0,0.8,1.1089831590652466,2.2605080604553223,0.1357419341802597
0,44,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,45,lh,mFUS,543.0,403.0,1178.0,2.725,0.394,0.145,0.021,7.0,0.5,1.080571174621582,1.7826452255249023,0.14787638187408447
0,45,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,45,rh,mFUS,494.0,353.0,1061.0,2.792,0.555,0.138,0.023,7.0,0.5,1.1622459888458252,1.7215267419815063,0.10844987630844116
0,45,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,46,lh,mFUS,166.0,113.0,381.0,2.965,0.343,0.169,0.033,3.0,0.2,0.9138727784156799,1.215465784072876,0.17324817180633545
0,46,lh,pFUS,170.0,119.0,382.0,2.846,0.413,0.116,0.019,1.0,0.2,1.0911136865615845,1.738581657409668,0.20684877038002014
0,46,rh,mFUS,238.0,166.0,481.0,3.069,0.329,0.137,0.032,2.0,0.3,1.2712416648864746,1.9110651016235352,0.17444434762001038
0,46,rh,pFUS,308.0,214.0,596.0,2.536,0.559,0.16,0.034,5.0,0.4,1.443918228149414,2.345089912414551,0.19813963770866394
0,47,lh,mFUS,242.0,169.0,584.0,2.596,0.441,0.205,0.062,9.0,0.5,1.3916144371032715,2.367814540863037,0.38439154624938965
0,47,lh,pFUS,290.0,204.0,659.0,2.63,0.365,0.145,0.032,4.0,0.4,1.4876054525375366,2.5695738792419434,0.4109061360359192
0,47,rh,mFUS,996.0,695.0,2107.0,2.466,0.65,0.128,0.024,13.0,1.0,2.354017734527588,4.637577056884766,0.4317508935928345
0,47,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
