,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_activation,max_face_activation,mean_pct_max_face_activation
0,35,rh,cortex,107377.0,73981.0,210015.0,2.483,0.633,0.134,0.03,1510.0,130.6,-0.037808503955602646,11.702974319458008,-0.003230674657970667
0,36,lh,cortex,105437.0,72270.0,200094.0,2.464,0.619,0.127,0.027,1378.0,113.7,0.07271020859479904,6.443451881408691,0.0112843569368124
0,36,rh,cortex,105256.0,72113.0,201308.0,2.486,0.612,0.128,0.027,1377.0,116.3,0.15326160192489624,6.774046421051025,0.022624820470809937
0,37,lh,cortex,112723.0,75339.0,205049.0,2.465,0.597,0.126,0.027,1384.0,120.6,-0.17636151611804962,8.165329933166504,-0.021598823368549347
0,37,rh,cortex,111714.0,74177.0,204126.0,2.475,0.59,0.125,0.027,1378.0,120.0,-0.16365304589271545,5.259469032287598,-0.031115885823965073
0,38,lh,cortex,137006.0,93003.0,255730.0,2.443,0.618,0.126,0.027,1770.0,144.1,-0.1027485802769661,5.14132022857666,-0.019984865561127663
0,38,rh,cortex,137010.0,92706.0,255016.0,2.439,0.605,0.126,0.026,1767.0,145.9,-0.05936547368764877,3.860806941986084,-0.01537644024938345
0,39,lh,cortex,123004.0,81787.0,199211.0,2.251,0.549,0.128,0.027,1473.0,130.2,-0.03925591707229614,10.483759880065918,-0.0037444494664669037
0,39,rh,cortex,122248.0,81689.0,201302.0,2.287,0.565,0.129,0.027,1475.0,132.3,0.0940697118639946,6.07803201675415,0.015477001667022705
0,40,lh,cortex,113939.0,76879.0,207329.0,2.429,0.617,0.122,0.025,1324.0,115.8,0.1299210786819458,5.959282398223877,0.021801462396979332
0,40,rh,cortex,114686.0,77366.0,207861.0,2.425,0.593,0.121,0.024,1263.0,109.3,0.16630055010318756,2.83673095703125,0.058624014258384705
0,41,lh,cortex,104071.0,71280.0,200016.0,2.489,0.623,0.128,0.027,1314.0,113.6,-0.11675688624382019,6.114737033843994,-0.01909434236586094
0,41,rh,cortex,103030.0,70841.0,198927.0,2.488,0.636,0.13,0.028,1365.0,119.3,-0.00834727194160223,4.506406307220459,-0.0018523142207413912
0,42,lh,cortex,157926.0,105802.0,295801.0,2.519,0.628,0.125,0.026,1954.0,166.7,-0.20300854742527008,7.0243377685546875,-0.028900733217597008
0,42,rh,cortex,158348.0,105895.0,293842.0,2.499,0.622,0.124,0.026,2001.0,166.6,-0.02680431865155697,4.444504261016846,-0.006030892487615347
0,43,lh,cortex,145879.0,96440.0,261350.0,2.429,0.625,0.121,0.026,1724.0,153.0,-0.0019274819642305374,6.632240295410156,-0.0002906230220105499
0,43,rh,cortex,146777.0,96767.0,259920.0,2.424,0.609,0.122,0.027,1736.0,157.3,0.06178819388151169,7.653096675872803,0.00807362049818039
0,44,lh,cortex,136774.0,91864.0,254082.0,2.48,0.631,0.125,0.027,1718.0,147.0,-0.004255276173353195,4.414736747741699,-0.0009638810297474265
0,44,rh,cortex,138498.0,92543.0,251753.0,2.437,0.619,0.124,0.027,1729.0,147.9,-0.06706811487674713,8.169790267944336,-0.008209282532334328
0,45,lh,cortex,117511.0,78919.0,216181.0,2.489,0.637,0.13,0.028,1512.0,131.7,-0.0312078557908535,7.307259559631348,-0.004270800855010748
0,45,rh,cortex,115737.0,77935.0,215917.0,2.524,0.633,0.13,0.028,1471.0,130.3,0.054926954209804535,10.716896057128906,0.005125266499817371
0,46,lh,cortex,104694.0,71343.0,191806.0,2.405,0.628,0.132,0.028,1406.0,117.0,-0.03997844085097313,5.274934768676758,-0.007578943856060505
0,46,rh,cortex,105608.0,71987.0,192952.0,2.414,0.614,0.133,0.028,1429.0,121.1,0.02761257067322731,7.287376403808594,0.003789096139371395
0,47,lh,cortex,124033.0,82585.0,222088.0,2.418,0.603,0.128,0.028,1549.0,138.2,0.06615318357944489,3.620304822921753,0.018272818997502327
0,47,rh,cortex,124088.0,83093.0,224222.0,2.44,0.609,0.128,0.028,1526.0,141.3,0.1737145185470581,5.452259063720703,0.031861018389463425
