,sub,species,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_pct_max_depth_mean,max_path_length,thickness_max_depth,sulcal_pct_max_thickness_mean,max_path_length_fusiform,label_mean_thickness_pct_max
0,h2_100307,human,rh,MFS,51.0,44.0,161.0,2.988,0.237,0.131,0.021,0.0,0.1,-0.03528037667274475,0.0690341666340828,-0.01925884187221527,9.403744225898649,3.1552586555480957,0.5976495146751404,83.41775064574746,0.5976495146751404
0,h2_100307,human,rh,OTS,1716.0,1189.0,2920.0,2.865,0.474,0.103,0.017,8.0,1.4,0.467096209526062,1.0436091423034668,0.25497838854789734,63.378546436665516,2.5613818168640137,0.5730707049369812,83.41775064574746,0.5730707049369812
0,h3_100408,human,lh,CoS,1100.0,807.0,1809.0,2.534,0.395,0.098,0.016,5.0,0.8,0.5870031714439392,1.0910526514053345,0.30091097950935364,46.26289163805906,2.1237382888793945,0.5067200064659119,75.61961932763175,0.5067200064659119
0,h3_100408,human,lh,MFS,154.0,127.0,504.0,3.612,0.646,0.123,0.027,1.0,0.2,0.0072144209407269955,0.22484345734119415,0.0036982730962336063,20.545454999851245,4.440075874328613,0.7223130464553833,75.61961932763175,0.7223130464553833
0,h3_100408,human,lh,OTS,1777.0,1295.0,3290.0,2.728,0.537,0.109,0.017,9.0,1.4,0.3210947811603546,0.8993778228759766,0.16460037231445312,55.82203562876656,2.3574209213256836,0.5455151796340942,75.61961932763175,0.5455151796340942
0,h3_100408,human,rh,CoS,1187.0,849.0,1785.0,2.41,0.363,0.092,0.013,5.0,0.7,0.6040014624595642,1.1175711154937744,0.31413590908050537,45.86372354544902,2.39467191696167,0.4819009304046631,89.03680482616521,0.4819009304046631
0,h3_100408,human,rh,MFS,482.0,359.0,1118.0,3.039,0.672,0.122,0.024,3.0,0.5,-0.019345730543136597,0.2756843566894531,-0.010061546228826046,30.986309896561906,1.7510234117507935,0.6077788472175598,89.03680482616521,0.6077788472175598
0,h3_100408,human,rh,OTS,1175.0,839.0,1958.0,2.647,0.392,0.106,0.021,5.0,1.1,0.49291160702705383,1.0474262237548828,0.2563590407371521,46.30805195557757,2.4287166595458984,0.5294532179832458,89.03680482616521,0.5294532179832458
0,h4_100610,human,lh,CoS,1085.0,770.0,2016.0,2.793,0.612,0.097,0.013,5.0,0.6,0.5360206365585327,1.0969468355178833,0.3109530806541443,59.80658859580137,2.7535626888275146,0.5585598945617676,69.86262174209108,0.5585598945617676
0,h4_100610,human,lh,MFS,310.0,232.0,679.0,3.05,0.3,0.117,0.015,2.0,0.3,0.02872839942574501,0.22127634286880493,0.0166657492518425,30.65051042954895,2.6893162727355957,0.6100503206253052,69.86262174209108,0.6100503206253052
0,h4_100610,human,lh,OTS,2079.0,1462.0,3765.0,2.86,0.541,0.1,0.015,9.0,1.4,0.4570518136024475,1.3209518194198608,0.26514217257499695,66.87484674915476,2.2958316802978516,0.5720027089118958,69.86262174209108,0.5720027089118958
