"","sub","hemi","pif","lft","fta","olfs","losa","losp","mosp","tolfs","tos","mosa","sf"
"48",236,"lh",3.75,3.927777778,1.976190476,2.044,2.836,2.129,2.607,3.259,2.446,2.518,3.52
"49",237,"lh",2.361111111,1.483333333,2.73015873,2.203,2.118,2.607,2.49,3.012,3.054,3.949,3.682
"50",240,"lh",3.083333333,3.794444444,1.94047619,2.303,2.974,2.415,2.406,3.093,2.377,2.845,2.843
"51",244,"lh",4.055555556,4.5,4.198412698,2.164,2.337,2.533,2.506,2.349,2.37,3.209,3.174
"52",246,"lh",2.805555556,3.205555556,2.369047619,2.161,2.63,2.599,2.578,2.751,2.383,2.284,3.421
"53",248,"lh",2.805555556,2.511111111,1.226190476,2.291,2.204,2.502,2.687,2.604,2.441,3.306,3.649
"54",249,"lh",4.833333333,2.666666667,2.428571429,2.16,2.123,2.301,3.028,2.327,2.228,2.819,2.573
"55",251,"lh",2.944444444,3.638888889,1.805555556,2.318,2.462,2.368,2.907,3.11,2.973,3.31,3.158
"56",252,"lh",2.638888889,3.105555556,1.825396825,2.044,2.509,2.439,2.887,2.502,2.431,2.805,2.658
"57",253,"lh",3.888888889,3.161111111,1.28968254,2.183,2.86,2.026,2.728,2.557,2.332,2.982,2.005
"58",254,"lh",2.888888889,3.216666667,2.638888889,2.617,2.556,2.681,2.721,2.653,2.581,2.63,2.522
"59",255,"lh",2.75,1.483333333,1.48015873,2.119,2.37,2.927,3.174,2.561,2.303,3.33,3.075
"60",257,"lh",3.805555556,4.044444444,2.293650794,2.135,2.441,3.039,2.25,3.122,2.346,2.785,2.721
"61",258,"lh",5,4.088888889,4.027777778,2.229,3.322,2.563,3.007,3.18,2.309,3.048,3.159
"62",259,"lh",5,4.388888889,4.523809524,2.197,2.442,2.465,2.506,3.37,2.543,3.161,2.689
"63",263,"lh",3.555555556,2.077777778,3.424603175,2.237,2.731,2.673,2.708,3.181,2.861,2.996,2.954
"64",265,"lh",2.416666667,2.144444444,1.575396825,2.269,2.812,2.319,2.938,2.86,2.446,3.036,3.222
"65",266,"lh",4.583333333,3.688888889,3.619047619,2.113,3.103,2.592,2.619,2.331,2.527,2.712,3.043
"66",268,"lh",2.722222222,3.711111111,3.674603175,2.253,2.587,2.455,2.728,3.104,2.458,3.037,3.318
"67",269,"lh",2.527777778,2.005555556,2.488095238,2.58,3.176,2.539,2.442,2.776,2.679,2.567,3.152
"68",270,"lh",4.166666667,3.383333333,3.583333333,2.312,2.159,2.309,2.72,3.074,2.367,3.003,2.731
"69",272,"lh",2.472222222,3.388888889,3.158730159,2.091,2.526,2.561,2.657,2.934,2.412,3.121,2.764
"70",273,"lh",3.333333333,3.283333333,2.972222222,2.427,2.366,2.642,2.897,3.117,2.675,2.477,3.309
"71",274,"lh",4.277777778,2.894444444,2.972222222,2.503,2.635,3.256,3.462,3.212,2.376,2.532,3.552
"72",275,"lh",4.75,2.561111111,4.134920635,2.268,2.382,2.601,2.962,3.078,2.708,4.32,3.673
"73",277,"lh",4.555555556,4.394444444,2.162698413,2.328,2.359,3.532,3.113,3.026,2.645,3.076,3.258
"74",278,"lh",3.555555556,3.111111111,3.722222222,2.075,2.851,2.583,2.848,2.722,2.409,2.959,3.54
"75",280,"lh",3.666666667,3.088888889,4,1.983,2.83,2.039,2.466,2.494,2.09,2.804,2.938
