"","sub","hemi","pif","lft","fta","colfs","mosp","mosa","tos","losa","losp","sf"
"73",274,"lh",4.277777778,2.894444444,2.972222222,2.713,3.462,2.532,2.376,2.635,3.256,3.552
"74",275,"lh",4.75,2.561111111,4.134920635,2.45,2.962,4.32,2.708,2.382,2.601,3.673
"75",277,"lh",4.555555556,4.394444444,2.162698413,2.512,3.113,3.076,2.645,2.359,3.532,3.258
"76",278,"lh",3.555555556,3.111111111,3.722222222,2.335,2.848,2.959,2.409,2.851,2.583,3.54
"77",280,"lh",3.666666667,3.088888889,4,2.145,2.466,2.804,2.09,2.83,2.039,2.938
"78",282,"lh",4,3.422222222,2.095238095,2.311,2.981,2.607,2.908,2.559,2.691,3.219
"79",285,"lh",4.638888889,4.033333333,2.78968254,2.223,2.904,2.73,2.294,2.595,2.68,2.52
"80",286,"lh",3.388888889,2.861111111,2.285714286,2.332,2.516,3.016,2.849,3.474,2.662,2.582
"81",287,"lh",4.916666667,3.366666667,3.257936508,2.207,2.729,2.717,2.552,2.388,2.196,2.905
"82",288,"lh",4.611111111,4.111111111,3.071428571,2.535,3.295,2.884,2.816,2.614,2.534,3.95
"83",290,"lh",4.833333333,4.133333333,3.591269841,2.492,2.716,3.31,2.573,2.929,2.197,3.111
"84",291,"lh",4,3.616666667,2.904761905,2.296,2.238,2.181,2.38,2.127,2.57,3.155
"85",292,"lh",4.638888889,3.555555556,2.531746032,2.587,2.805,3.037,2.475,2.645,2.933,3.44
"86",293,"lh",2.416666667,2,1.746031746,2.32,2.774,2.502,2.452,2.544,2.257,3.38
"87",294,"lh",3.361111111,3.177777778,1.948412698,2.356,2.891,2.87,2.34,2.439,2.502,2.786
"88",295,"lh",4.527777778,3.361111111,3.511904762,2.335,2.688,2.84,2.381,2.397,2.985,3.113
"89",297,"lh",4.166666667,3.616666667,2.619047619,2.336,2.67,3.653,2.225,2.434,2.214,3.601
"90",299,"lh",3.75,3.472222222,2.833333333,2.443,2.562,2.899,2.441,2.289,2.231,2.97
"91",303,"lh",3.833333333,2.833333333,3.686507937,2.503,4.012,3.108,2.75,2.719,2.259,2.671
"92",304,"lh",4.305555556,3.716666667,2.630952381,2.328,2.9,2.82,2.447,3.322,2.38,3.208
"93",308,"lh",4.666666667,1,3.476190476,2.474,2.467,3.088,2.292,2.27,3.19,2.998
"94",310,"lh",3.472222222,2.916666667,3.53968254,2.499,2.518,2.68,2.424,2.474,2.444,2.479
"95",311,"lh",3.444444444,3.838888889,4.099206349,2.328,2.938,2.738,2.414,2.079,3.315,3.322
"96",314,"lh",3.611111111,3.277777778,2.912698413,2.617,3.162,3.124,2.618,2.93,3.2,2.878
"97",317,"lh",4.555555556,3.55,3.115079365,2.409,3.265,2.796,2.686,2.646,2.116,3.033
"98",318,"lh",4.583333333,4.238888889,3.976190476,2.48,3.117,2.994,2.524,2.409,2.171,3.63
"99",319,"lh",4.361111111,3.861111111,3.468253968,2.332,2.771,3.386,2.702,2.521,2.39,2.859
"100",320,"lh",4,2.85,2.51984127,2.27,2.691,2.624,2.393,2.284,2.452,3.421
"101",321,"lh",2.111111111,2.494444444,1.746031746,2.498,2.971,3.14,2.842,2.238,2.666,3.159
"102",323,"lh",3.833333333,2.533333333,2.26984127,2.679,2.829,2.476,2.338,2.092,2.486,3.353
"103",325,"lh",3.361111111,3.15,3.234126984,2.312,3.007,3.712,2.472,2.76,2.863,2.966
"104",332,"lh",3.166666667,1.983333333,2.535714286,2.359,3.586,3.915,2.757,3.049,2.776,2.562
"105",333,"lh",4.388888889,2.783333333,3.154761905,2.461,2.794,3.495,2.494,2.202,2.79,2.919
"106",336,"lh",3.444444444,3.466666667,3.686507937,2.392,2.847,3.109,2.676,2.797,2.379,3.323
"107",342,"lh",4.305555556,3.011111111,3.444444444,2.566,3.417,2.786,3.12,2.404,2.552,3.143
"108",345,"lh",4.194444444,1.961111111,2.948412698,2.4,2.726,3.1,2.606,3.728,2.551,3.126
"109",346,"lh",3.833333333,3.916666667,2.55952381,2.49,2.896,2.465,2.552,2.78,2.378,3.613
"110",103,"rh",4.888888889,3.288888889,2.738095238,2.798,3.017,2.787,2.573,2.567,2.204,2.55
"111",111,"rh",3.611111111,2.216666667,2.186507937,2.387,2.801,2.682,2.519,3.137,2.406,2.892
"112",115,"rh",2.888888889,2.722222222,2.900793651,2.373,3.055,2.3,2.508,2.469,3.117,3.129
"113",118,"rh",4.083333333,3.766666667,3.698412698,2.057,2.96,3.356,2.373,3.019,2.491,3.374
"114",123,"rh",2.722222222,2.327777778,2.591269841,2.351,2.985,3.34,2.302,2.553,2.758,2.866
"115",124,"rh",3.611111111,3.055555556,3.76984127,2.28,2.693,3.859,2.495,2.753,2.212,2.823
"116",127,"rh",3.388888889,4.4,3.134920635,2.366,2.753,3.238,2.645,3.311,2.456,3.206
"117",129,"rh",3.777777778,4.188888889,3.126984127,2.559,2.719,2.442,2.357,2.762,2.34,2.771
"118",130,"rh",3.277777778,3.094444444,3.78968254,2.589,3.106,2.529,2.457,2.123,2.512,2.486
"119",134,"rh",4.111111111,3.155555556,2.222222222,2.348,3.474,3.614,2.586,2.216,2.349,2.788
"120",142,"rh",3.472222222,1.688888889,2.928571429,2.478,2.448,2.662,2.517,2.417,2.307,2.876
"121",143,"rh",4.416666667,3.883333333,3.257936508,2.216,3.269,3.001,2.593,2.354,2.468,2.296
"122",149,"rh",3.305555556,2.377777778,3.285714286,2.46,2.851,2.996,2.892,3.462,2.664,2.898
"123",153,"rh",4.166666667,3.244444444,3.146825397,2.346,3.006,2.709,2.719,2.731,2.146,2.824
"124",160,"rh",4.388888889,4.233333333,1.587301587,2.54,2.878,3.165,2.455,3.243,3.067,3.194
"125",171,"rh",3.833333333,3.172222222,2.365079365,2.42,2.681,3.342,2.654,3.066,2.392,2.47
"126",176,"rh",2,1.616666667,2.76984127,2.104,2.483,2.585,2.574,2.397,3.416,2.706
"127",178,"rh",2.527777778,4.35,2.523809524,2.173,2.976,2.755,2.777,2.283,2.657,3.269
"128",179,"rh",4.305555556,3.083333333,1.678571429,2.506,2.715,2.444,2.45,2.489,3.706,2.855
"129",181,"rh",2.888888889,3.777777778,3.28968254,2.455,2.787,3.407,2.526,2.359,3.076,3.066
"130",184,"rh",2.694444444,2.133333333,2.611111111,2.37,2.831,3.193,2.358,2.409,2.204,3.147
"131",185,"rh",4.333333333,2.288888889,2.456349206,2.295,3.201,2.881,2.329,2.556,2.838,3.033
"132",187,"rh",4.277777778,3.283333333,3.301587302,2.13,2.896,3.129,2.42,1.911,2.242,2.283
"133",189,"rh",2.055555556,2.288888889,1.765873016,2.364,3.171,3.465,2.301,2.499,2.133,3.645
"134",190,"rh",4.472222222,3.422222222,2.888888889,2.299,3.165,2.995,2.674,2.782,3.519,2.371
"135",191,"rh",3.333333333,3.477777778,2.916666667,2.274,3.215,3.237,2.726,2.292,2.067,2.773
"136",194,"rh",4.416666667,1.972222222,3.083333333,2.064,3.9,2.565,2.5,2.146,2.697,2.927
"137",195,"rh",4,2.083333333,2.869047619,2.715,3.123,2.646,2.484,2.045,2.809,3.514
"138",196,"rh",3.527777778,3.227777778,2.630952381,2.34,2.605,2.285,2.403,4.128,2.421,3.17
