"","X","sub","hemi","species","X.1","label","vertices","total_surface_area_.mm.2..x","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","normalized_SA"
"141",354,"106016","lh","human",1207,"csts-3",604,425,918,2.345,0.386,0.109,0.017,3,0.5,0.542564034461975,1.05880892276764,0.295834064483643,0.00501149696362243
"142",360,"106016","rh","human",1213,"csts-1",1059,753,1828,2.615,0.37,0.101,0.015,5,0.7,0.392105400562286,1.32020425796509,0.204320669174194,0.00885236650913451
"143",361,"106016","rh","human",1214,"csts-2",394,292,708,2.68,0.372,0.112,0.023,2,0.3,0.269307047128677,1.12164759635925,0.140332147479057,0.00343279020008935
"144",362,"106016","rh","human",1215,"csts-3",824,608,1375,2.456,0.469,0.122,0.026,7,0.9,0.570328593254089,1.2310665845871,0.297190278768539,0.00714772753991206
"145",367,"106319","lh","human",1220,"csts-1",1308,941,2014,2.315,0.329,0.102,0.014,6,0.9,0.503656983375549,1.41197633743286,0.279879868030548,0.0107466709303122
"146",368,"106319","lh","human",1221,"csts-2",536,397,831,2.197,0.28,0.11,0.012,3,0.4,0.119887381792068,0.619193971157074,0.0666208788752556,0.00453393024371303
"147",369,"106319","lh","human",1222,"csts-3",872,637,1242,2.307,0.303,0.103,0.015,4,0.6,0.565118014812469,1.17038798332214,0.314033508300781,0.0072748452525068
"148",375,"106319","rh","human",1228,"csts-1",1172,845,1956,2.597,0.352,0.093,0.014,4,0.7,0.492725044488907,1.52505671977997,0.258939146995544,0.00983816509488881
"149",376,"106319","rh","human",1229,"csts-2",484,374,896,2.685,0.392,0.125,0.025,3,0.6,-0.0292088221758604,0.604694426059723,-0.015349954366684,0.00435440679939457
"150",377,"106319","rh","human",1230,"csts-3",1644,1232,2678,2.453,0.381,0.1,0.013,7,1,0.593553483486176,1.46609663963318,0.311926990747452,0.0143439282803586
"151",383,"106521","lh","human",1236,"csts-1",732,504,1167,2.494,0.425,0.103,0.019,4,0.6,0.29656720161438,1.01379287242889,0.159183129668236,0.00523337313742796
"152",384,"106521","lh","human",1237,"csts-2",887,641,1362,2.291,0.299,0.105,0.015,4,0.7,0.333327293395996,1.08596193790436,0.178914204239845,0.00665593686724469
"153",385,"106521","lh","human",1238,"csts-3",685,477,1040,2.262,0.331,0.106,0.018,3,0.5,0.498266786336899,1.50951564311981,0.267445862293243,0.00495301386220861
"154",390,"106521","rh","human",1243,"csts-1",1242,893,1934,2.339,0.347,0.103,0.017,6,1,0.37846451997757,1.40324020385742,0.202989473938942,0.00901428355120376
